objid,ra,dec,z_phot,z_phot_err,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
1237661435928182876,215.155499616742,44.5634642008456,0.07838219579526792,0.018315268203594363,355.52080081624945,-21.737478607585462,0.0014231851777806916
1237661435928183409,215.15636090078,44.5279381325578,0.35582042914948614,0.05554950624003012,1893.089323222963,-22.048842370642102,6.686436676470526e-05
1237662301898211431,215.232426143315,48.3097266912058,0.07758378763767308,0.021389680754178467,351.7050917510047,-21.365418408936968,0.001032309804191173
1237662301898211812,215.237014302389,48.3394449101971,0.3701441979003608,0.049301568300795615,1982.6601161761039,-22.86352718135755,0.0001290964595582608
1237662301898211463,215.27484223878,48.3081638968765,0.0651546665481069,0.017459873769330843,292.8079303971616,-21.879226434791846,0.0023906990226527005
1237662301898211355,215.26548581018,48.2886295169161,0.08443407442147047,0.022111949603786332,384.5696383841308,-21.08386378941961,0.0006661860403635316
1237662301898211503,215.299764571424,48.3327855807565,0.07225112183606637,0.018997932028611754,326.3193510464805,-21.387669583127494,0.0012240021368586757
1237662301898211514,215.29616874337,48.3033642935174,0.06925195902141251,0.019770945022926395,312.1186442081636,-20.901136258720502,0.0008547027080795092
1237662301898146543,215.197228465281,48.3493646961471,0.5774023469098919,0.05319630539835532,3369.667245773695,-21.96315857231008,1.950246000780419e-05
1237668350284071304,216.61894677767,15.5788196164501,0.07230700461881386,0.023024545919701777,326.58447409175136,-20.346168702111115,0.0004682485185245371
1237668350284071097,216.577453537203,15.6404656337521,0.20174547215975022,0.018911879026735603,989.6283411021344,-22.85078576089848,0.0005121180179827046
1237668350284071731,216.621896276952,15.5579729013656,0.5295178024793935,0.05435906871699513,3035.1587829675095,-22.13020956963103,2.803631920754596e-05
1237668350284071621,216.580338976157,15.5612242406273,0.5743974640319573,0.06529045559741035,3348.4479749762477,-22.060026658334625,2.1593525406693052e-05
1237661211507753193,217.342425650428,45.3010616055585,0.07800766380032262,0.017852665452721583,353.7303739980164,-21.63893422632516,0.0013128919455936705
1237661211507753978,217.333806677131,45.3203817936522,0.6297263491647265,0.044099422007372796,3743.8559652891972,-21.26407365042198,8.298339449840714e-06
1237661211507753816,217.370216492223,45.2696438919109,0.7296952100537755,0.08599836909173117,4481.988418792107,-21.350569160038965,6.270269449856408e-06
