objid,ra,dec,z_phot,z_phot_err,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
1237679320163287420,0.42175263630412,11.1758884794213,0.5043682702371632,0.04714185878829551,2862.6669295758793,-22.171859004652205,3.274929535498137e-05
1237679320163287164,0.459981870376851,11.1770246133322,0.11373715822791725,0.014655461453467432,528.3302230485091,-22.41918167573036,0.0012074294378358677
1237663543696621698,1.42221276653947,0.321697007632148,0.06054562171119049,0.03307518737019043,271.20938798329325,-18.91855839335665,0.00018231143941789047
1237663543696622028,1.40956603590053,0.301315912013915,0.5471565506204696,0.07269148326878733,3157.466320417881,-22.14025393392833,2.6147135650615997e-05
1237663543696622397,1.4019024746591,0.30727592024153,0.5348631984695023,0.04333403185176745,3072.1095908588577,-22.381055820756256,3.4478544186714866e-05
1237663543696621713,1.45487077894052,0.312228664947512,0.08365644604598316,0.03825281352378191,380.8246058226564,-18.82002700617468,8.444244506708326e-05
1237679323384840364,4.29262979373989,-4.8044980437219,0.8390292529172269,0.13762096853633915,5320.750949387492,-21.511651965986083,5.160774987319062e-06
1237657192517861621,4.71170732199533,1.16889117746825,0.1454701169129955,0.037096520510936634,689.6727296822154,-20.72854955955121,0.00014932541004984758
1237680478731960592,5.03237253441853,32.7743723030524,0.15205946016556454,0.030378528600182104,723.8944064287185,-21.472779204122165,0.0002690055498384534
1237678879949390697,5.72215415524389,-3.04816174693999,0.5812128349562535,0.045004955224131594,3396.6183525664337,-21.57205211924586,1.3388358840884063e-05
1237678879949390222,5.68104823745132,-3.01957178531824,0.46349578706648986,0.0534272885983983,2587.258217924519,-22.208310555363614,4.14614677307425e-05
1237678879949390632,5.67106467122854,-3.09856814741338,0.5988983173891703,0.05215924438074894,3522.328445920227,-21.637587510490313,1.322437950942869e-05
1237678879949325012,5.63864777755465,-3.05075807857801,0.39111069237375884,0.032431653054025955,2115.350450063222,-22.16634566614533,5.967241465444298e-05
1237679436131730119,6.0984624466,-1.64521854808594,0.5531129186075336,0.06323158331558253,3199.010572908846,-22.948831637270146,5.364154820634273e-05
1237678881560134690,6.11472255735497,-1.66302082890792,0.5556513355856427,0.08176655329713642,3216.7522587989465,-22.233715392959294,2.7456863711509485e-05
1237678881560134612,6.03584155649123,-1.66350363668742,0.6095637455034125,0.0567250101135391,3598.6283036492973,-21.467234697062192,1.0829786525819837e-05
1237679436131729994,6.12930562727519,-1.62288086135913,0.7029983273600036,0.09225519508591676,4282.032944985203,-22.086734661669997,1.3532992963332821e-05
1237679436131729603,6.13633241733341,-1.57906875596389,0.06789632031158044,0.01950276338764262,305.71800013531566,-20.7214066298506,0.0007549542459811371
1237678432716522102,6.06189490580479,-1.55648735664902,0.6922768980944438,0.049171197774994284,4202.298278894241,-21.47008828680889,7.962722190595252e-06
1237678881560134190,6.01670382232497,-1.69482806953086,0.8184084895596476,0.07147995471792078,5160.220674600688,-21.36722576219818,4.80345532656276e-06
1237679436131730142,6.11687501600633,-1.56100893304419,0.76565417546357,0.07415549582141956,4754.410465864714,-21.802557686309544,8.449475052176512e-06
1237669703194051150,6.16988858011507,8.33338829800784,0.3897439291649509,0.09986921859131202,2106.6442159115704,-21.908143636300146,4.743239609207407e-05
1237669703194051139,6.16659488454081,8.33009047625119,0.47242517603583434,0.048453017009826335,2646.8940008325844,-21.883721888109964,2.9377555540023404e-05
1237669519055127353,6.16506606145686,8.36888158980246,0.27847032536371724,0.068371248848682,1425.2740883701604,-20.93160757846095,4.215472417600784e-05
1237669519055127344,6.16225518396817,8.37797806963352,0.3339554683753123,0.08326965996428552,1758.0921942925606,-20.761416238611037,2.3685535280544154e-05
1237669519055126850,6.15075566438054,8.3585333162892,0.29769167796327467,0.025082127121611793,1538.947408237238,-22.40138469284606,0.00013999299986743326
1237669519055126762,6.1462447668269,8.35744955245926,0.38772332856762176,0.09112523608536212,2093.787370617143,-21.470826399416175,3.209707137570013e-05
