objID,raMean,decMean,z_phot,z_phot_err,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
121360004258436294,0.4259067431901194,11.138086484210588,0.2849168836285791,0.07142190460796068,1138.7528992405898,-20.448275696608725,4.2310804905309586e-05
121360004384806674,0.4384635637837221,11.138482188378577,0.0,0.014021318834088786,0.4282653036068684,-9.182388461159046,0.009322440121082121
121410004526553929,0.4527098306979942,11.177877483076465,0.29235059357755516,0.05269813505150454,1166.235519017544,-20.807294228839893,5.614940559288865e-05
121410004532792954,0.4533163017705044,11.177071163640706,0.44733167252973277,0.03213052332358084,1713.5534284548605,-21.056300878531516,3.271335231537111e-05
121410004599422945,0.4599941975061944,11.177038609794606,0.11357663888114422,0.02289163919594262,473.72480530899077,-21.401112878041403,0.0005880210852437487
121410004680509961,0.4681011281228827,11.182884908298591,0.09991459143391812,0.04907572896462598,418.1056083572051,-18.46613285065054,5.056862605608857e-05
121410004694836887,0.4695511799638577,11.180308702320463,0.18892209620825395,0.05883713803109499,773.61478655871,-20.025653542520864,6.211720309505793e-05
121370004243704197,0.4243970658053791,11.144748124656267,0.027683594218677,0.01207324280519438,117.81911198365587,-20.521057512724525,0.004226603564091984
121370004325830800,0.4326284364018423,11.14192040662667,0.11275365740633855,0.04643717649975413,470.3851062365823,-19.399372030481786,9.437168027661143e-05
121420004271326878,0.4272185166630517,11.188678131178891,0.6295802848366064,0.09685785004052772,2296.7873053973067,-20.80871878953478,1.4495925809642233e-05
121420004625663731,0.4626184381562934,11.186034311350337,0.37894077183447916,0.0419149118357735,1478.0216895983297,-21.47359164196135,6.457658020176727e-05
121370004417456883,0.4418249665995346,11.14697889384786,0.5585619579460668,0.0658283007404434,2076.993048089029,-20.895101392522996,1.9194220128419822e-05
121370004418434516,0.4418510417819838,11.145016614502476,0.07358399405520472,0.017503529341291447,309.8482066085233,-21.790205341547733,0.0019669085265372134
121430004422393306,0.4422944580323964,11.193998986044924,0.2460568803663394,0.03195448909373968,993.2321594646675,-21.215958291548258,0.00011279290203376058
121430004458668378,0.4459148050322296,11.19819711968609,0.36239007915535637,0.10331070938740834,1419.6089683911966,-20.102397434270827,1.97980084383382e-05
121440004336860953,0.4337400000829816,11.200402384001556,0.23293349218339696,0.04602877827184885,943.3842969473138,-20.575604392714602,6.932094447434457e-05
121380004270398887,0.4270916548113408,11.156995510644744,0.3129379333170096,0.06097695586751949,1241.7542811199312,-20.2329767434355,2.9182289764364436e-05
121390004100248038,0.4100693965835208,11.16462690403242,0.14455604330167474,0.04919570706316701,598.4370932202359,-19.438221690258963,6.042987091475979e-05
121390004129466161,0.4129628213592454,11.163052966209642,0.6213983928058714,0.05415645055794152,2271.9378134452118,-21.109218315284046,1.9538645186995465e-05
121390004192680013,0.419302048343535,11.157924828222908,0.6408177146757208,0.07417003492127382,2330.7192925352033,-20.77336231537076,1.3625893307517018e-05
121390004494417704,0.4494744388708876,11.164343482698404,0.5454160793065926,0.10122534820581285,2035.2770787095355,-20.88501099352361,1.9804200485237135e-05
121400004368570507,0.4369041392014832,11.166687907435078,0.09015847871833677,0.03153167604216453,378.15654814390774,-19.84047310951011,0.0002192027477213158
121400004474287812,0.4474721215535781,11.1727552225871,0.4562426615302474,0.03676219206988175,1743.5563259197002,-21.059746539171716,3.169761979579203e-05
121400004677609457,0.4678123092033573,11.174128254905638,0.5210757881368241,0.10428935698134018,1957.1719155146486,-20.40583332151651,1.3774485245496818e-05
121410004142333506,0.4142873319733913,11.177519985601124,0.38431615305983324,0.12581890481355984,1496.873876556347,-20.44664004261331,2.4450379187976223e-05
121410004211295304,0.4211751720870542,11.179008661942207,0.5119916589114022,0.04844739816704816,1927.731727387399,-20.452039196508956,1.4815710666755339e-05
121410004217311383,0.4218299830125161,11.175844344783844,0.5077267219493373,0.057952679711503044,1913.8550124484632,-20.97985629870425,2.4441308436707295e-05
121410004395765562,0.4396382700325444,11.17920810727754,0.2542635544169157,0.06483916216832916,1024.22360950791,-19.472853321670996,2.1298634631583987e-05
121410004495586704,0.4496065426533364,11.180180136118386,0.4605969855725141,0.04461454178089594,1758.1602003170494,-20.97235164301861,2.8762310338155808e-05
108340014223414464,1.4224209324340231,0.2867166634443372,0.5025539254549423,0.09479087405916352,1896.9773423586312,-20.89086830491762,2.2920444441840417e-05
108380014421439343,1.4422158416635926,0.3240833400898285,0.4207850193953946,0.08586700936789075,1623.2395698442692,-20.897233806531986,3.148678224164204e-05
108380014425290699,1.442591270471977,0.3168745076945797,0.2532621242221382,0.06908062687827338,1020.4492868048156,-20.55180693003941,5.7961540423257044e-05
108380014172532885,1.4173012362273802,0.318680590549002,0.150390586359329,0.03992889372280134,621.7054390892519,-20.3653173805842,0.00013150964895197953
108380014221716496,1.4222513813992537,0.321683868850677,0.0864342220646447,0.03600782335866797,362.8559145640235,-19.131986375116764,0.00012397272205562053
108370014216210750,1.4216716717712767,0.3085669824119354,0.15731259742639822,0.02865186496201528,649.2201230742379,-22.038443998055456,0.0005631105369009317
108370014256464652,1.4257092386619503,0.3118310660669648,0.010597538555989994,0.013607837225964392,45.27813459288812,-18.3632185234298,0.003922024995446184
108350014165583167,1.4166256097792462,0.2939274335581698,0.6252328515603371,0.04859328241001596,2283.598711034909,-20.97095840134463,1.7027221363449592e-05
108370014321465796,1.4321951393939258,0.3128017136317862,0.1444840263315496,0.03010858470218525,598.1494515294013,-20.65887599474741,0.00018617912299340913
108370014548255114,1.4548597569258008,0.3122096505128058,0.09522059732435842,0.04625003195620707,398.9087687621834,-18.603525203776684,6.304678069625346e-05
108390014099439536,1.410333960342646,0.332786868085668,0.38172166956055537,0.029616412888328517,1487.7819609999428,-21.15455347740635,4.7505381879600546e-05
108390014103099799,1.410338085202705,0.3327760069130398,0.2905165079101704,0.06613027349133307,1159.4654269902437,-20.770141302483356,5.489602699773031e-05
108410014417283642,1.4417274088872594,0.3442276948529124,0.6436653165549895,0.12554173766155557,2339.281609512269,-20.807496289858772,1.3958331322775367e-05
108420014004932040,1.400552648155862,0.3513254809704487,0.4218241208166751,0.041406282558700866,1626.801042624051,-21.128809163842647,3.880205986635826e-05
108390014519341598,1.4519891286287565,0.3259483592744939,0.4224940874576259,0.12284019033816751,1629.0961804611266,-20.672359404943695,2.5412670830126094e-05
108360014018859154,1.4019185467736954,0.3072584183152896,0.6058879621611293,0.05076228790513572,2224.495676889238,-21.1690928819797,2.153644521507174e-05
108400013869929884,1.3870174630304068,0.3412479235018132,0.9127024253555798,0.10055919821442025,3085.983802485193,-20.744243799096143,7.566764805116965e-06
