,objName,objAltName1_x,objAltName2_x,objAltName3_x,objID_x,uniquePspsOBid_x,ippObjID_x,surveyID_x,htmID_x,zoneID_x,tessID_x,projectionID_x,skyCellID_x,randomID_x,batchID_x,dvoRegionID_x,processingVersion_x,objInfoFlag_x,astrometryCorrectionFlag_x,qualityFlag_x,raStack_x,decStack_x,raStackErr_x,decStackErr_x,raMean_x,decMean_x,raMeanErr_x,decMeanErr_x,pmra_x,pmdec_x,pmraErr_x,pmdecErr_x,epochMean_x,posMeanChisq_x,cx_x,cy_x,cz_x,lambda_x,beta_x,l_x,b_x,nStackObjectRows_x,nStackDetections_x,nDetections_x,ng_x,nr_x,ni_x,nz_x,ny_x,gQfPerfect_x,gMeanPSFMag_x,gMeanPSFMagErr_x,gMeanPSFMagStd_x,gMeanPSFMagNpt_x,gMeanPSFMagMin_x,gMeanPSFMagMax_x,gMeanKronMag_x,gMeanKronMagErr_x,gMeanKronMagStd_x,gMeanKronMagNpt_x,gMeanApMag_x,gMeanApMagErr_x,gMeanApMagStd_x,gMeanApMagNpt_x,gFlags_x,rQfPerfect_x,rMeanPSFMag_x,rMeanPSFMagErr_x,rMeanPSFMagStd_x,rMeanPSFMagNpt_x,rMeanPSFMagMin_x,rMeanPSFMagMax_x,rMeanKronMag_x,rMeanKronMagErr_x,rMeanKronMagStd_x,rMeanKronMagNpt_x,rMeanApMag_x,rMeanApMagErr_x,rMeanApMagStd_x,rMeanApMagNpt_x,rFlags_x,iQfPerfect_x,iMeanPSFMag_x,iMeanPSFMagErr_x,iMeanPSFMagStd_x,iMeanPSFMagNpt_x,iMeanPSFMagMin_x,iMeanPSFMagMax_x,iMeanKronMag_x,iMeanKronMagErr_x,iMeanKronMagStd_x,iMeanKronMagNpt_x,iMeanApMag_x,iMeanApMagErr_x,iMeanApMagStd_x,iMeanApMagNpt_x,iFlags_x,zQfPerfect_x,zMeanPSFMag_x,zMeanPSFMagErr_x,zMeanPSFMagStd_x,zMeanPSFMagNpt_x,zMeanPSFMagMin_x,zMeanPSFMagMax_x,zMeanKronMag_x,zMeanKronMagErr_x,zMeanKronMagStd_x,zMeanKronMagNpt_x,zMeanApMag_x,zMeanApMagErr_x,zMeanApMagStd_x,zMeanApMagNpt_x,zFlags_x,yQfPerfect_x,yMeanPSFMag_x,yMeanPSFMagErr_x,yMeanPSFMagStd_x,yMeanPSFMagNpt_x,yMeanPSFMagMin_x,yMeanPSFMagMax_x,yMeanKronMag_x,yMeanKronMagErr_x,yMeanKronMagStd_x,yMeanKronMagNpt_x,yMeanApMag_x,yMeanApMagErr_x,yMeanApMagStd_x,yMeanApMagNpt_x,yFlags_x,distance_x,Unnamed: 0,objAltName1_y,objAltName2_y,objAltName3_y,objID_y,uniquePspsOBid_y,ippObjID_y,surveyID_y,htmID_y,zoneID_y,tessID_y,projectionID_y,skyCellID_y,randomID_y,batchID_y,dvoRegionID_y,processingVersion_y,objInfoFlag_y,astrometryCorrectionFlag_y,qualityFlag_y,raStack_y,decStack_y,raStackErr_y,decStackErr_y,raMean_y,decMean_y,raMeanErr_y,decMeanErr_y,pmra_y,pmdec_y,pmraErr_y,pmdecErr_y,epochMean_y,posMeanChisq_y,cx_y,cy_y,cz_y,lambda_y,beta_y,l_y,b_y,nStackObjectRows_y,nStackDetections_y,nDetections_y,ng_y,nr_y,ni_y,nz_y,ny_y,gQfPerfect_y,gMeanPSFMag_y,gMeanPSFMagErr_y,gMeanPSFMagStd_y,gMeanPSFMagNpt_y,gMeanPSFMagMin_y,gMeanPSFMagMax_y,gMeanKronMag_y,gMeanKronMagErr_y,gMeanKronMagStd_y,gMeanKronMagNpt_y,gMeanApMag_y,gMeanApMagErr_y,gMeanApMagStd_y,gMeanApMagNpt_y,gFlags_y,rQfPerfect_y,rMeanPSFMag_y,rMeanPSFMagErr_y,rMeanPSFMagStd_y,rMeanPSFMagNpt_y,rMeanPSFMagMin_y,rMeanPSFMagMax_y,rMeanKronMag_y,rMeanKronMagErr_y,rMeanKronMagStd_y,rMeanKronMagNpt_y,rMeanApMag_y,rMeanApMagErr_y,rMeanApMagStd_y,rMeanApMagNpt_y,rFlags_y,iQfPerfect_y,iMeanPSFMag_y,iMeanPSFMagErr_y,iMeanPSFMagStd_y,iMeanPSFMagNpt_y,iMeanPSFMagMin_y,iMeanPSFMagMax_y,iMeanKronMag_y,iMeanKronMagErr_y,iMeanKronMagStd_y,iMeanKronMagNpt_y,iMeanApMag_y,iMeanApMagErr_y,iMeanApMagStd_y,iMeanApMagNpt_y,iFlags_y,zQfPerfect_y,zMeanPSFMag_y,zMeanPSFMagErr_y,zMeanPSFMagStd_y,zMeanPSFMagNpt_y,zMeanPSFMagMin_y,zMeanPSFMagMax_y,zMeanKronMag_y,zMeanKronMagErr_y,zMeanKronMagStd_y,zMeanKronMagNpt_y,zMeanApMag_y,zMeanApMagErr_y,zMeanApMagStd_y,zMeanApMagNpt_y,zFlags_y,yQfPerfect_y,yMeanPSFMag_y,yMeanPSFMagErr_y,yMeanPSFMagStd_y,yMeanPSFMagNpt_y,yMeanPSFMagMin_y,yMeanPSFMagMax_y,yMeanKronMag_y,yMeanKronMagErr_y,yMeanKronMagStd_y,yMeanKronMagNpt_y,yMeanApMag_y,yMeanApMagErr_y,yMeanApMagStd_y,yMeanApMagNpt_y,yFlags_y,distance_y,dered_g,dered_r,dered_i,dered_z,dered_y,z_phot,z_phot_err,z_std
723,PSO J330.5969-07.5242,-999,-999,-999,98973305968531401,3573568000079841,440139658639332,0,12765784350787,9897,1,1225,17,0.955626878846089,3573568,102478,3,503635968,7,60,330.59684704,-7.52416417,0.0010000000474974,0.0010000000474974,330.5968760151049,-7.524196456884893,0.0002825989233456,0.0002798974042953,-5.275408357071004,-12.721536268556983,0.2034816189639172,0.2022024679854328,56023.61628183967,18.420846939086918,0.8636858191507668,-0.4867239930150774,-0.1309448755061751,330.000083407526,4.2132011196840295,51.03897706751812,-45.454299913786215,-999,5,100,20,19,32,14,15,0.9996939897537231,16.587400436401367,0.0027139999438077,0.0127499997615814,18,16.56130027770996,16.606399536132812,16.637100219726562,0.0027650000993162,0.0099480003118515,20,16.57670021057129,0.0023560000117868,0.0106060001999139,20,115000,0.9997689723968506,16.268600463867188,0.0021659999620169,0.0077329999767243,11,16.25659942626953,16.282899856567383,16.322799682617188,0.0042889998294413,0.0153559995815157,15,16.260000228881836,0.002828000113368,0.010076000355184,15,115000,0.9997559785842896,16.141399383544922,0.0017409999854862,0.0090340003371238,24,16.12660026550293,16.161399841308594,16.200599670410156,0.0025339999701827,0.0128199998289346,27,16.139999389648438,0.0014959999825805,0.0084819998592138,28,115000,0.999355971813202,16.109800338745117,0.0079330001026391,0.0192760005593299,11,16.08880043029785,16.14349937438965,16.178800582885742,0.0052649998106062,0.0332919992506504,13,16.123199462890625,0.0025810000952333,0.0149980001151561,13,115000,0.9996160268783568,16.10569953918457,0.004495000001043,0.0149640003219246,14,16.077899932861328,16.12779998779297,16.18939971923828,0.0105029996484518,0.0449230000376701,14,16.11479949951172,0.0076359999366104,0.0283969994634389,14,115000,0.0466084255156247,1298125.0,-999.0,-999.0,-999.0,9.897330596853141e+16,3573568000079841.0,440139658639332.0,0.0,12765784350787.0,9897.0,1.0,1225.0,17.0,0.955626878846089,3573568.0,102478.0,3.0,503635968.0,7.0,60.0,330.59684704,-7.52416417,0.0010000000474974,0.0010000000474974,330.5968760151049,-7.524196456884893,0.0002825989233456,0.0002798974042953,-5.275408357071004,-12.721536268556983,0.2034816189639172,0.2022024679854328,56023.61628183967,18.42084693908692,0.8636858191507668,-0.4867239930150774,-0.1309448755061751,330.000083407526,4.2132011196840295,51.03897706751812,-45.454299913786215,-999.0,5.0,100.0,20.0,19.0,32.0,14.0,15.0,0.9996939897537231,16.587400436401367,0.0027139999438077,0.0127499997615814,18.0,16.56130027770996,16.606399536132812,16.637100219726562,0.0027650000993162,0.0099480003118515,20.0,16.57670021057129,0.0023560000117868,0.0106060001999139,20.0,115000.0,0.9997689723968506,16.268600463867188,0.0021659999620169,0.0077329999767243,11.0,16.25659942626953,16.282899856567383,16.322799682617188,0.0042889998294413,0.0153559995815157,15.0,16.260000228881836,0.002828000113368,0.010076000355184,15.0,115000.0,0.9997559785842896,16.141399383544922,0.0017409999854862,0.0090340003371238,24.0,16.12660026550293,16.161399841308594,16.200599670410156,0.0025339999701827,0.0128199998289346,27.0,16.139999389648438,0.0014959999825805,0.0084819998592138,28.0,115000.0,0.999355971813202,16.109800338745117,0.0079330001026391,0.0192760005593299,11.0,16.08880043029785,16.14349937438965,16.178800582885742,0.0052649998106062,0.0332919992506504,13.0,16.123199462890625,0.0025810000952333,0.0149980001151561,13.0,115000.0,0.9996160268783568,16.10569953918457,0.004495000001043,0.0149640003219246,14.0,16.077899932861328,16.12779998779297,16.18939971923828,0.0105029996484518,0.0449230000376701,14.0,16.11479949951172,0.0076359999366104,0.0283969994634389,14.0,115000.0,0.0466084255156247,16.4736567735672,16.186226069927216,16.085359077900648,16.08025386929512,16.079487953335047,0.0229517004029557,0.0237321840596451,0.0343051260216565
1059,PSO J330.6410-07.5403,-999,-999,-999,98953306409792378,3573603000000260,440143953527043,0,12765787535957,9895,1,1225,17,0.427546285491014,3573603,102479,3,512024576,7,61,330.64100007,-7.54027336,0.0010000000474974,0.0010000000474974,330.64101521583444,-7.54029947800092,0.000380495761705,0.0003811051980117,-3.367633197885898,7.040942098459359,0.2524796816738181,0.2536722686035478,55969.33266034036,86.35597229003906,0.8640284129255209,-0.4860404246667196,-0.1312235011238474,330.0356188922029,4.182899081803745,51.05193874066959,-45.50003407784263,-999,5,95,18,22,29,14,12,0.9997519850730896,17.27429962158203,0.0262359995394945,0.1027479991316795,12,17.105300903320312,17.409400939941406,16.21619987487793,0.0098139997571706,0.0335480011999607,15,16.905099868774414,0.0476559996604919,0.1897169947624206,15,16892216,0.9993199706077576,16.98189926147461,0.01651700027287,0.0471940003335475,11,16.882200241088867,17.02440071105957,15.652400016784668,0.0085030002519488,0.03184400126338,17,16.52910041809082,0.0385220013558864,0.1288370043039322,17,16892216,0.9996340274810792,16.752700805664062,0.0222330000251531,0.1391959935426712,20,16.465499877929688,16.902999877929688,15.410699844360352,0.0239480007439851,0.1655520051717758,23,16.11680030822754,0.0140359997749328,0.0705080032348632,23,16892216,0.9993029832839966,16.734699249267578,0.0570299997925758,0.076163999736309,5,16.671300888061523,16.854999542236328,15.20259952545166,0.0113599998876452,0.0247339997440576,9,16.268999099731445,0.0657410025596618,0.0807920023798942,9,16892216,0.9988499879837036,16.413700103759766,0.0573120005428791,0.0953949987888336,9,16.300100326538086,16.571199417114258,15.1850004196167,0.0036790000740438,0.1490789949893951,10,15.90530014038086,0.0071310000494122,0.0858310014009475,10,16892216,2.022848045165797e-05,1298461.0,-999.0,-999.0,-999.0,9.895330640979238e+16,3573603000000260.0,440143953527043.0,0.0,12765787535957.0,9895.0,1.0,1225.0,17.0,0.427546285491014,3573603.0,102479.0,3.0,512024576.0,7.0,61.0,330.64100007,-7.54027336,0.0010000000474974,0.0010000000474974,330.64101521583444,-7.54029947800092,0.000380495761705,0.0003811051980117,-3.367633197885898,7.040942098459359,0.2524796816738181,0.2536722686035478,55969.33266034036,86.35597229003906,0.8640284129255209,-0.4860404246667196,-0.1312235011238474,330.0356188922029,4.182899081803745,51.05193874066959,-45.50003407784263,-999.0,5.0,95.0,18.0,22.0,29.0,14.0,12.0,0.9997519850730896,17.27429962158203,0.0262359995394945,0.1027479991316795,12.0,17.105300903320312,17.409400939941406,16.21619987487793,0.0098139997571706,0.0335480011999607,15.0,16.905099868774414,0.0476559996604919,0.1897169947624206,15.0,16892216.0,0.9993199706077576,16.98189926147461,0.01651700027287,0.0471940003335475,11.0,16.882200241088867,17.02440071105957,15.652400016784668,0.0085030002519488,0.03184400126338,17.0,16.52910041809082,0.0385220013558864,0.1288370043039322,17.0,16892216.0,0.9996340274810792,16.752700805664062,0.0222330000251531,0.1391959935426712,20.0,16.465499877929688,16.902999877929688,15.410699844360352,0.0239480007439851,0.1655520051717758,23.0,16.11680030822754,0.0140359997749328,0.0705080032348632,23.0,16892216.0,0.9993029832839966,16.734699249267578,0.0570299997925758,0.076163999736309,5.0,16.671300888061523,16.854999542236328,15.20259952545166,0.0113599998876452,0.0247339997440576,9.0,16.268999099731445,0.0657410025596618,0.0807920023798942,9.0,16892216.0,0.9988499879837036,16.413700103759766,0.0573120005428791,0.0953949987888336,9.0,16.300100326538086,16.571199417114258,15.1850004196167,0.0036790000740438,0.1490789949893951,10.0,15.90530014038086,0.0071310000494122,0.0858310014009475,10.0,16892216.0,2.022848045165797e-05,16.801444463431835,16.454888112843037,16.06183549016714,16.225798450410366,15.869778882712126,0.049329913886787,0.0217909957250924,0.0320496024100937
2927,PSO J330.6234-07.5148,-999,-999,-999,98983306234122662,3573568000082851,440139658642342,0,12765787622482,9898,1,1225,17,0.837677080964369,3573568,102478,3,503635968,7,60,330.62340836,-7.5147767,0.0010000000474974,0.0010000000474974,330.6234328168557,-7.514807184730784,0.0001750829701723,0.0001729576220772,-2.5220957928778067,-4.622108317532412,0.125423057231227,0.1231156779436649,56037.57805334081,143.3385009765625,0.8639300122857579,-0.4863341390784277,-0.1307824110451201,330.0281126111014,4.212860072187665,51.069987138115046,-45.47186328425922,-999,5,102,20,22,32,15,13,0.9996430277824402,15.799200057983398,0.0032669999636709,0.0172710008919239,15,15.768099784851074,15.821700096130373,15.84060001373291,0.0037450001109391,0.0168880000710487,18,15.77750015258789,0.003472999902442,0.0163080003112554,18,115000,0.9996820092201232,15.30490016937256,0.0030700000934302,0.0136399995535612,19,15.277199745178224,15.32509994506836,15.368499755859377,0.0046029998920857,0.0172879993915557,21,15.302900314331056,0.0028560000937432,0.0146610001102089,21,115000,0.999688982963562,15.10569953918457,0.0016129999421536,0.0079340003430843,19,15.093899726867676,15.121999740600586,15.166199684143066,0.0017920000245794,0.0087740002200007,24,15.108099937438965,0.0009670000290498,0.0044689998030662,24,115000,0.9997159838676452,15.026000022888184,0.0038479999639093,0.0089739998802542,8,15.013699531555176,15.034799575805664,15.08080005645752,0.0024820000398904,0.0094379996880888,10,15.036199569702148,0.0039880000986158,0.0075889998115599,10,115000,0.9996730089187622,14.96399974822998,0.0071129999123513,0.0144029995426535,11,14.940699577331545,14.987000465393066,15.013099670410156,0.0102770002558827,0.0195719990879297,13,14.96840000152588,0.002905000001192,0.0115609997883439,13,115000,0.0308622703270821,1300329.0,-999.0,-999.0,-999.0,9.898330623412266e+16,3573568000082851.0,440139658642342.0,0.0,12765787622482.0,9898.0,1.0,1225.0,17.0,0.837677080964369,3573568.0,102478.0,3.0,503635968.0,7.0,60.0,330.62340836,-7.5147767,0.0010000000474974,0.0010000000474974,330.6234328168557,-7.514807184730784,0.0001750829701723,0.0001729576220772,-2.5220957928778067,-4.622108317532412,0.125423057231227,0.1231156779436649,56037.57805334081,143.3385009765625,0.8639300122857579,-0.4863341390784277,-0.1307824110451201,330.0281126111014,4.212860072187665,51.069987138115046,-45.47186328425922,-999.0,5.0,102.0,20.0,22.0,32.0,15.0,13.0,0.9996430277824402,15.799200057983398,0.0032669999636709,0.0172710008919239,15.0,15.768099784851074,15.821700096130373,15.84060001373291,0.0037450001109391,0.0168880000710487,18.0,15.77750015258789,0.003472999902442,0.0163080003112554,18.0,115000.0,0.9996820092201232,15.30490016937256,0.0030700000934302,0.0136399995535612,19.0,15.277199745178224,15.32509994506836,15.368499755859377,0.0046029998920857,0.0172879993915557,21.0,15.302900314331056,0.0028560000937432,0.0146610001102089,21.0,115000.0,0.999688982963562,15.10569953918457,0.0016129999421536,0.0079340003430843,19.0,15.093899726867676,15.121999740600586,15.166199684143066,0.0017920000245794,0.0087740002200007,24.0,15.108099937438965,0.0009670000290498,0.0044689998030662,24.0,115000.0,0.9997159838676452,15.026000022888184,0.0038479999639093,0.0089739998802542,8.0,15.013699531555176,15.034799575805664,15.08080005645752,0.0024820000398904,0.0094379996880888,10.0,15.036199569702148,0.0039880000986158,0.0075889998115599,10.0,115000.0,0.9996730089187622,14.96399974822998,0.0071129999123513,0.0144029995426535,11.0,14.940699577331545,14.987000465393066,15.013099670410156,0.0102770002558827,0.0195719990879297,13.0,14.96840000152588,0.002905000001192,0.0115609997883439,13.0,115000.0,0.0308622703270821,15.674753174185753,15.2293384000659,15.05361682549119,14.993377529084682,14.933190047740938,0.0149740917253095,0.0155074213489989,0.0221211908876508
3037,PSO J330.6065-07.4970,-999,-999,-999,99003306064953999,3573513000079847,400226527557608,0,12765787288441,9900,1,1225,17,0.571036605696228,3573513,93185,3,503635968,7,60,330.60647952,-7.49699605,0.0010000000474974,0.0010000000474974,330.60650468103273,-7.49702689592382,0.0009658432288443,0.0009694038319099,-1.7815468848309273,-5.987805015190343,0.8588059253189212,0.8542812494604403,56154.80857870693,14.371652603149414,0.8638216052087202,-0.4866092633276898,-0.1304747455192492,330.01852370949234,4.2353638903121205,51.07911848197262,-45.44826564069079,-999,5,80,18,15,17,14,16,0.999912977218628,19.434999465942383,0.011579000391066,0.0720599964261055,16,19.21109962463379,19.513599395751957,19.534099578857425,0.0187170002609491,0.0998170003294944,16,19.4379997253418,0.0154149997979402,0.06700299680233,16,115000,0.9996349811553956,18.283100128173828,0.0039329999126493,0.013497999869287,15,18.2539005279541,18.30820083618164,18.373699188232425,0.0089790001511573,0.0394180007278919,15,18.27580070495605,0.0068359998986124,0.0235200002789497,15,115000,0.999330997467041,17.696800231933594,0.0049569997936487,0.0172119997441768,14,17.668500900268555,17.72410011291504,17.776599884033203,0.0057919998653233,0.0286410003900527,16,17.695999145507812,0.00688900006935,0.0280469991266727,16,115000,0.9996029734611512,17.41819953918457,0.0077080000191926,0.0461070016026496,14,17.318199157714844,17.529399871826172,17.482200622558594,0.0127699999138712,0.0687870010733604,14,17.411399841308594,0.0078659998252987,0.0461580008268356,14,115000,0.9995710253715516,17.29669952392578,0.0078590000048279,0.0408420003950595,15,17.211999893188477,17.329599380493164,17.396499633789062,0.034790001809597,0.0890469998121261,15,17.3080997467041,0.0385180003941059,0.0862250030040741,15,115000,0.0551443901322109,1300439.0,-999.0,-999.0,-999.0,9.9003306064954e+16,3573513000079847.0,400226527557608.0,0.0,12765787288441.0,9900.0,1.0,1225.0,17.0,0.571036605696228,3573513.0,93185.0,3.0,503635968.0,7.0,60.0,330.60647952,-7.49699605,0.0010000000474974,0.0010000000474974,330.60650468103273,-7.49702689592382,0.0009658432288443,0.0009694038319099,-1.7815468848309273,-5.987805015190343,0.8588059253189212,0.8542812494604403,56154.80857870693,14.371652603149414,0.8638216052087202,-0.4866092633276898,-0.1304747455192492,330.01852370949234,4.2353638903121205,51.07911848197262,-45.44826564069079,-999.0,5.0,80.0,18.0,15.0,17.0,14.0,16.0,0.999912977218628,19.434999465942383,0.011579000391066,0.0720599964261055,16.0,19.21109962463379,19.51359939575196,19.534099578857425,0.0187170002609491,0.0998170003294944,16.0,19.4379997253418,0.0154149997979402,0.06700299680233,16.0,115000.0,0.9996349811553956,18.283100128173828,0.0039329999126493,0.013497999869287,15.0,18.2539005279541,18.30820083618164,18.373699188232425,0.0089790001511573,0.0394180007278919,15.0,18.27580070495605,0.0068359998986124,0.0235200002789497,15.0,115000.0,0.999330997467041,17.696800231933594,0.0049569997936487,0.0172119997441768,14.0,17.668500900268555,17.72410011291504,17.776599884033203,0.0057919998653233,0.0286410003900527,16.0,17.695999145507812,0.00688900006935,0.0280469991266727,16.0,115000.0,0.9996029734611512,17.41819953918457,0.0077080000191926,0.0461070016026496,14.0,17.318199157714844,17.529399871826172,17.482200622558594,0.0127699999138712,0.0687870010733604,14.0,17.411399841308594,0.0078659998252987,0.0461580008268356,14.0,115000.0,0.9995710253715516,17.29669952392578,0.0078590000048279,0.0408420003950595,15.0,17.211999893188477,17.329599380493164,17.396499633789062,0.034790001809597,0.0890469998121261,15.0,17.3080997467041,0.0385180003941059,0.0862250030040741,15.0,115000.0,0.0551443901322109,19.335788272321228,18.202622205018997,17.64180000498891,17.36880099400878,17.273073311895132,0.2267590759840817,0.0221356560417411,0.0383515695315036
3627,PSO J330.6058-07.5487,-999,-999,-999,98943306057692009,3573568000080872,440139658640363,0,12765784482262,9894,1,1225,17,0.612559293035939,3573568,102478,3,503635968,7,60,330.60577156,-7.54866086,0.0010000000474974,0.0010000000474974,330.6057890041609,-7.548691597648011,0.0001082148904503,0.0001086698504403,1.517625729524093,-19.610462198665424,0.0736013942408415,0.0740944303487322,56030.82301894897,2890.098388671875,0.8637126702622085,-0.4865621101433205,-0.1313687032797566,329.9998463446654,4.1871571415457245,51.015726304307904,-45.47460823092175,-999,5,109,22,22,30,18,17,0.999746024608612,14.037400245666504,0.0039789997972548,0.0131689999252557,13,14.01319980621338,14.053500175476074,14.086099624633787,0.0021450000349432,0.0086629996076226,17,14.02810001373291,0.0015480000292882,0.0063939997926354,17,115000,0.9997000098228456,13.60990047454834,0.0010539999930188,0.0012580000329762,3,13.608200073242188,13.610400199890137,13.663800239562988,0.0008529999759048,0.0020149999763816,6,13.605799674987791,0.0025480000767856,0.004240000154823,6,16892216,0.9999150037765504,13.46310043334961,0.0,-999.0,1,13.46310043334961,13.46310043334961,13.512700080871582,0.0,-999.0,2,13.4576997756958,0.0,-999.0,2,16892216,0.9997590184211732,13.411199569702148,0.0041450001299381,0.0089830001816153,6,13.406499862670898,13.42870044708252,13.458900451660156,0.0028709999751299,0.0084640001878142,11,13.40470027923584,0.0030459999106824,0.0089140003547072,11,115000,0.9991480112075806,13.390399932861328,0.0034509999677538,0.0091230003163218,9,13.375300407409668,13.407299995422363,13.42300033569336,0.0089020002633333,0.0178640000522136,13,13.3818998336792,0.0027509999927133,0.0081749996170401,13,115000,0.0359039773666523,1301029.0,-999.0,-999.0,-999.0,9.894330605769202e+16,3573568000080872.0,440139658640363.0,0.0,12765784482262.0,9894.0,1.0,1225.0,17.0,0.612559293035939,3573568.0,102478.0,3.0,503635968.0,7.0,60.0,330.60577156,-7.54866086,0.0010000000474974,0.0010000000474974,330.6057890041609,-7.548691597648011,0.0001082148904503,0.0001086698504403,1.517625729524093,-19.610462198665424,0.0736013942408415,0.0740944303487322,56030.82301894897,2890.098388671875,0.8637126702622085,-0.4865621101433205,-0.1313687032797566,329.9998463446654,4.1871571415457245,51.015726304307904,-45.47460823092175,-999.0,5.0,109.0,22.0,22.0,30.0,18.0,17.0,0.999746024608612,14.037400245666504,0.0039789997972548,0.0131689999252557,13.0,14.01319980621338,14.053500175476074,14.086099624633787,0.0021450000349432,0.0086629996076226,17.0,14.02810001373291,0.0015480000292882,0.0063939997926354,17.0,115000.0,0.9997000098228456,13.60990047454834,0.0010539999930188,0.0012580000329762,3.0,13.608200073242188,13.610400199890137,13.663800239562988,0.0008529999759048,0.0020149999763816,6.0,13.605799674987791,0.0025480000767856,0.004240000154823,6.0,16892216.0,0.9999150037765504,13.46310043334961,0.0,-999.0,1.0,13.46310043334961,13.46310043334961,13.512700080871582,0.0,-999.0,2.0,13.4576997756958,0.0,-999.0,2.0,16892216.0,0.9997590184211732,13.411199569702148,0.0041450001299381,0.0089830001816153,6.0,13.406499862670898,13.42870044708252,13.458900451660156,0.0028709999751299,0.0084640001878142,11.0,13.40470027923584,0.0030459999106824,0.0089140003547072,11.0,115000.0,0.9991480112075806,13.390399932861328,0.0034509999677538,0.0091230003163218,9.0,13.375300407409668,13.407299995422363,13.42300033569336,0.0089020002633333,0.0178640000522136,13.0,13.3818998336792,0.0027509999927133,0.0081749996170401,13.0,115000.0,0.0359039773666523,13.92360059171915,13.530983097851276,13.402287404984236,13.361147869378328,13.346089344471691,0.0,0.0131611097197623,0.0186242471822447
