,objName,objAltName1_x,objAltName2_x,objAltName3_x,objID_x,uniquePspsOBid_x,ippObjID_x,surveyID_x,htmID_x,zoneID_x,tessID_x,projectionID_x,skyCellID_x,randomID_x,batchID_x,dvoRegionID_x,processingVersion_x,objInfoFlag_x,astrometryCorrectionFlag_x,qualityFlag_x,raStack_x,decStack_x,raStackErr_x,decStackErr_x,raMean_x,decMean_x,raMeanErr_x,decMeanErr_x,pmra_x,pmdec_x,pmraErr_x,pmdecErr_x,epochMean_x,posMeanChisq_x,cx_x,cy_x,cz_x,lambda_x,beta_x,l_x,b_x,nStackObjectRows_x,nStackDetections_x,nDetections_x,ng_x,nr_x,ni_x,nz_x,ny_x,gQfPerfect_x,gMeanPSFMag_x,gMeanPSFMagErr_x,gMeanPSFMagStd_x,gMeanPSFMagNpt_x,gMeanPSFMagMin_x,gMeanPSFMagMax_x,gMeanKronMag_x,gMeanKronMagErr_x,gMeanKronMagStd_x,gMeanKronMagNpt_x,gMeanApMag_x,gMeanApMagErr_x,gMeanApMagStd_x,gMeanApMagNpt_x,gFlags_x,rQfPerfect_x,rMeanPSFMag_x,rMeanPSFMagErr_x,rMeanPSFMagStd_x,rMeanPSFMagNpt_x,rMeanPSFMagMin_x,rMeanPSFMagMax_x,rMeanKronMag_x,rMeanKronMagErr_x,rMeanKronMagStd_x,rMeanKronMagNpt_x,rMeanApMag_x,rMeanApMagErr_x,rMeanApMagStd_x,rMeanApMagNpt_x,rFlags_x,iQfPerfect_x,iMeanPSFMag_x,iMeanPSFMagErr_x,iMeanPSFMagStd_x,iMeanPSFMagNpt_x,iMeanPSFMagMin_x,iMeanPSFMagMax_x,iMeanKronMag_x,iMeanKronMagErr_x,iMeanKronMagStd_x,iMeanKronMagNpt_x,iMeanApMag_x,iMeanApMagErr_x,iMeanApMagStd_x,iMeanApMagNpt_x,iFlags_x,zQfPerfect_x,zMeanPSFMag_x,zMeanPSFMagErr_x,zMeanPSFMagStd_x,zMeanPSFMagNpt_x,zMeanPSFMagMin_x,zMeanPSFMagMax_x,zMeanKronMag_x,zMeanKronMagErr_x,zMeanKronMagStd_x,zMeanKronMagNpt_x,zMeanApMag_x,zMeanApMagErr_x,zMeanApMagStd_x,zMeanApMagNpt_x,zFlags_x,yQfPerfect_x,yMeanPSFMag_x,yMeanPSFMagErr_x,yMeanPSFMagStd_x,yMeanPSFMagNpt_x,yMeanPSFMagMin_x,yMeanPSFMagMax_x,yMeanKronMag_x,yMeanKronMagErr_x,yMeanKronMagStd_x,yMeanKronMagNpt_x,yMeanApMag_x,yMeanApMagErr_x,yMeanApMagStd_x,yMeanApMagNpt_x,yFlags_x,distance_x,Unnamed: 0,objAltName1_y,objAltName2_y,objAltName3_y,objID_y,uniquePspsOBid_y,ippObjID_y,surveyID_y,htmID_y,zoneID_y,tessID_y,projectionID_y,skyCellID_y,randomID_y,batchID_y,dvoRegionID_y,processingVersion_y,objInfoFlag_y,astrometryCorrectionFlag_y,qualityFlag_y,raStack_y,decStack_y,raStackErr_y,decStackErr_y,raMean_y,decMean_y,raMeanErr_y,decMeanErr_y,pmra_y,pmdec_y,pmraErr_y,pmdecErr_y,epochMean_y,posMeanChisq_y,cx_y,cy_y,cz_y,lambda_y,beta_y,l_y,b_y,nStackObjectRows_y,nStackDetections_y,nDetections_y,ng_y,nr_y,ni_y,nz_y,ny_y,gQfPerfect_y,gMeanPSFMag_y,gMeanPSFMagErr_y,gMeanPSFMagStd_y,gMeanPSFMagNpt_y,gMeanPSFMagMin_y,gMeanPSFMagMax_y,gMeanKronMag_y,gMeanKronMagErr_y,gMeanKronMagStd_y,gMeanKronMagNpt_y,gMeanApMag_y,gMeanApMagErr_y,gMeanApMagStd_y,gMeanApMagNpt_y,gFlags_y,rQfPerfect_y,rMeanPSFMag_y,rMeanPSFMagErr_y,rMeanPSFMagStd_y,rMeanPSFMagNpt_y,rMeanPSFMagMin_y,rMeanPSFMagMax_y,rMeanKronMag_y,rMeanKronMagErr_y,rMeanKronMagStd_y,rMeanKronMagNpt_y,rMeanApMag_y,rMeanApMagErr_y,rMeanApMagStd_y,rMeanApMagNpt_y,rFlags_y,iQfPerfect_y,iMeanPSFMag_y,iMeanPSFMagErr_y,iMeanPSFMagStd_y,iMeanPSFMagNpt_y,iMeanPSFMagMin_y,iMeanPSFMagMax_y,iMeanKronMag_y,iMeanKronMagErr_y,iMeanKronMagStd_y,iMeanKronMagNpt_y,iMeanApMag_y,iMeanApMagErr_y,iMeanApMagStd_y,iMeanApMagNpt_y,iFlags_y,zQfPerfect_y,zMeanPSFMag_y,zMeanPSFMagErr_y,zMeanPSFMagStd_y,zMeanPSFMagNpt_y,zMeanPSFMagMin_y,zMeanPSFMagMax_y,zMeanKronMag_y,zMeanKronMagErr_y,zMeanKronMagStd_y,zMeanKronMagNpt_y,zMeanApMag_y,zMeanApMagErr_y,zMeanApMagStd_y,zMeanApMagNpt_y,zFlags_y,yQfPerfect_y,yMeanPSFMag_y,yMeanPSFMagErr_y,yMeanPSFMagStd_y,yMeanPSFMagNpt_y,yMeanPSFMagMin_y,yMeanPSFMagMax_y,yMeanKronMag_y,yMeanKronMagErr_y,yMeanKronMagStd_y,yMeanKronMagNpt_y,yMeanApMag_y,yMeanApMagErr_y,yMeanApMagStd_y,yMeanApMagNpt_y,yFlags_y,distance_y,dered_g,dered_r,dered_i,dered_z,dered_y,z_phot,z_phot_err,z_std
383,PSO J171.8972+24.7869,-999,-999,-999,137741718971844876,3619909000049051,178915452698525,0,15506721999737,13774,1,1887,13,0.766077572261987,3619909,41657,3,503635968,7,60,171.89722157,24.78690684,0.0010000000474974,0.0010000000474974,171.89722372250247,24.78687265362185,0.0001957040374579,0.0001928385776916,-6.759661634616671,-7.285320658119101,0.1230660483509628,0.1221461490060322,56151.72656252151,329.8249206542969,-0.8988101008164828,0.127964054874,0.4192440856237186,162.45497724000063,19.49640107842581,215.30411761757173,71.03000184710163,-999,10,62,10,14,12,10,16,0.9995669722557068,15.020000457763672,0.0060049998573958,0.0396119989454746,7,15.000200271606444,15.110099792480469,15.08549976348877,0.0019229999743402,0.0660329982638359,8,15.014900207519531,0.0019499999471008,0.0457339994609355,8,115000,0.9998390078544616,14.680700302124023,0.0053750001825392,0.0184899996966123,9,14.655400276184082,14.69849967956543,14.707900047302246,0.004137999843806,0.0160479992628097,9,14.666399955749512,0.0027630000840872,0.007675000000745,10,115000,0.9995489716529846,14.553199768066406,0.0003980000037699,0.0191680006682872,6,14.52180004119873,14.577300071716309,14.602100372314451,0.0032820000778883,0.0063060000538825,7,14.545700073242188,0.0045630000531673,0.0080289999023079,7,115000,0.9992910027503968,14.54319953918457,0.0036069999914616,0.0091679999604821,4,14.53030014038086,14.548800468444824,14.592100143432615,0.003614000044763,0.009452000260353,8,14.52299976348877,0.0002669999958015,0.000707000028342,8,16892216,0.9994009733200072,14.509099960327148,0.0050229998305439,0.0145079996436834,15,14.48799991607666,14.53159999847412,14.522600173950195,0.0045079998672008,0.0271569993346929,16,14.507800102233888,0.0028480000328272,0.0101359998807311,16,115000,0.0368046902606446,606533.0,-999.0,-999.0,-999.0,1.3774171897184488e+17,3619909000049051.0,178915452698525.0,0.0,15506721999737.0,13774.0,1.0,1887.0,13.0,0.766077572261987,3619909.0,41657.0,3.0,503635968.0,7.0,60.0,171.89722157,24.78690684,0.0010000000474974,0.0010000000474974,171.89722372250247,24.78687265362185,0.0001957040374579,0.0001928385776916,-6.759661634616671,-7.285320658119101,0.1230660483509628,0.1221461490060322,56151.72656252151,329.8249206542969,-0.8988101008164828,0.127964054874,0.4192440856237186,162.45497724000063,19.49640107842581,215.30411761757173,71.03000184710163,-999.0,10.0,62.0,10.0,14.0,12.0,10.0,16.0,0.9995669722557068,15.020000457763672,0.0060049998573958,0.0396119989454746,7.0,15.000200271606444,15.110099792480469,15.08549976348877,0.0019229999743402,0.0660329982638359,8.0,15.014900207519531,0.0019499999471008,0.0457339994609355,8.0,115000.0,0.9998390078544616,14.680700302124023,0.0053750001825392,0.0184899996966123,9.0,14.655400276184082,14.69849967956543,14.707900047302246,0.004137999843806,0.0160479992628097,9.0,14.666399955749512,0.0027630000840872,0.007675000000745,10.0,115000.0,0.9995489716529846,14.553199768066406,0.0003980000037699,0.0191680006682872,6.0,14.52180004119873,14.577300071716309,14.602100372314451,0.0032820000778883,0.0063060000538825,7.0,14.545700073242188,0.0045630000531673,0.0080289999023079,7.0,115000.0,0.9992910027503968,14.54319953918457,0.0036069999914616,0.0091679999604821,4.0,14.53030014038086,14.548800468444824,14.592100143432615,0.003614000044763,0.009452000260353,8.0,14.52299976348877,0.0002669999958015,0.000707000028342,8.0,16892216.0,0.9994009733200072,14.509099960327148,0.0050229998305439,0.0145079996436834,15.0,14.48799991607666,14.53159999847412,14.522600173950195,0.0045079998672008,0.0271569993346929,16.0,14.507800102233888,0.0028480000328272,0.0101359998807311,16.0,115000.0,0.0368046902606446,14.957614939659834,14.625386450439692,14.515323709696531,14.499124880880116,14.488169241696598,0.0,0.0158769402761857,0.0230738177294041
756,PSO J171.9141+24.8541,-999,-999,-999,137821719141065511,3619909000052126,178915452701600,0,15506720588375,13782,1,1887,23,0.7613991208015,3619909,41657,3,503635968,7,60,171.91412158,24.85411082,0.0010000000474974,0.0010000000474974,171.91412035267052,24.85407330956829,0.000468419166443,0.0004430213671262,-5.424803674360149,2.1075800310461053,0.2716077571121156,0.2491483211290418,56150.171257631926,24.11953353881836,-0.8983603489982084,0.1276297367833312,0.4203086171332141,162.439963178147,19.56386656158411,215.1108499344485,71.05846954664334,-999,5,67,9,13,15,15,15,0.99925297498703,17.774099349975586,0.0079749999567866,0.0208700001239776,7,17.752399444580078,17.810100555419922,17.84269905090332,0.0075119999237358,0.0211670007556676,8,17.78820037841797,0.0078320000320672,0.0267099998891353,8,115000,0.9995480179786682,16.989599227905273,0.0030410001054406,0.0094760004431009,9,16.975099563598633,17.007699966430664,17.039199829101562,0.0034799999557435,0.0141070000827312,12,16.98699951171875,0.0020890000741928,0.0115529997274279,12,115000,0.9995980262756348,16.667299270629883,0.0031109999399632,0.0121579999104142,11,16.64240074157715,16.683799743652344,16.723800659179688,0.0037150001153349,0.0125820003449916,13,16.65679931640625,0.0033700000494718,0.0100940000265836,13,115000,0.9996960163116456,16.538299560546875,0.0034250000026077,0.0132130002602934,12,16.5093994140625,16.548099517822266,16.587799072265625,0.003175999969244,0.0141559997573494,14,16.533100128173828,0.0041749998927116,0.0159239992499351,14,115000,0.9996079802513124,16.448299407958984,0.0062719997949898,0.0156079996377229,13,16.41469955444336,16.472999572753906,16.512699127197266,0.0122100003063678,0.0541759990155696,13,16.445199966430664,0.0052660000510513,0.037016998976469,13,115000,0.0322721930895767,606906.0,-999.0,-999.0,-999.0,1.378217191410655e+17,3619909000052126.0,178915452701600.0,0.0,15506720588375.0,13782.0,1.0,1887.0,23.0,0.7613991208015,3619909.0,41657.0,3.0,503635968.0,7.0,60.0,171.91412158,24.85411082,0.0010000000474974,0.0010000000474974,171.91412035267052,24.85407330956829,0.000468419166443,0.0004430213671262,-5.424803674360149,2.1075800310461053,0.2716077571121156,0.2491483211290418,56150.171257631926,24.11953353881836,-0.8983603489982084,0.1276297367833312,0.4203086171332141,162.439963178147,19.56386656158411,215.1108499344485,71.05846954664334,-999.0,5.0,67.0,9.0,13.0,15.0,15.0,15.0,0.99925297498703,17.774099349975586,0.0079749999567866,0.0208700001239776,7.0,17.752399444580078,17.810100555419922,17.84269905090332,0.0075119999237358,0.0211670007556676,8.0,17.78820037841797,0.0078320000320672,0.0267099998891353,8.0,115000.0,0.9995480179786682,16.989599227905273,0.0030410001054406,0.0094760004431009,9.0,16.975099563598633,17.007699966430664,17.039199829101562,0.0034799999557435,0.0141070000827312,12.0,16.98699951171875,0.0020890000741928,0.0115529997274279,12.0,115000.0,0.9995980262756348,16.667299270629883,0.0031109999399632,0.0121579999104142,11.0,16.64240074157715,16.683799743652344,16.723800659179688,0.0037150001153349,0.0125820003449916,13.0,16.65679931640625,0.0033700000494718,0.0100940000265836,13.0,115000.0,0.9996960163116456,16.538299560546875,0.0034250000026077,0.0132130002602934,12.0,16.5093994140625,16.548099517822266,16.587799072265625,0.003175999969244,0.0141559997573494,14.0,16.533100128173828,0.0041749998927116,0.0159239992499351,14.0,115000.0,0.9996079802513124,16.448299407958984,0.0062719997949898,0.0156079996377229,13.0,16.41469955444336,16.472999572753906,16.512699127197266,0.0122100003063678,0.0541759990155696,13.0,16.445199966430664,0.0052660000510513,0.037016998976469,13.0,115000.0,0.0322721930895767,17.729966081678867,16.945306546986103,16.62591971643269,16.508829716593027,16.425243888050318,0.0902837120640239,0.0219897196700745,0.0331254033598161
896,PSO J171.8917+24.7969,-999,-999,-999,137751718916996887,3619909000048061,178915452697535,0,15506725147143,13775,1,1887,23,0.404325175475632,3619909,41657,3,503635968,7,60,171.89173516,24.79691853,0.0010000000474974,0.0010000000474974,171.8917278897833,24.796885388271708,0.0006630376257632,0.0006602562802,6.96323820153699,-10.713457696355553,0.4477205012473901,0.4437737821617084,56155.22865767423,91.47496795654295,-0.8987252759275708,0.1280399329209854,0.4194027348343132,162.4457186626613,19.503410287459747,215.2708465060233,71.0271198920418,-999,10,64,12,15,14,9,14,0.9996830224990844,18.202800750732425,0.0072579998522996,0.0213140007108449,10,18.1825008392334,18.23970031738281,18.24570083618164,0.009634000249207,0.0343240015208721,12,18.1737003326416,0.0061650001443922,0.016992000862956,12,115000,0.9996269941329956,17.568599700927734,0.003967999946326,0.0130519997328519,10,17.55270004272461,17.591100692749023,17.516000747680664,0.0051179998554289,0.0196560006588697,15,17.465999603271484,0.0034020000603049,0.0130920000374317,15,16892216,0.9998639822006226,17.212499618530273,0.012984000146389,0.0334700010716915,11,17.15399932861328,17.248699188232422,17.214000701904297,0.0088449995964765,0.0319310016930103,13,17.14419937133789,0.0054739997722208,0.0224200002849102,13,115000,0.9981279969215392,17.180700302124023,0.0074450001120567,0.0244789998978376,7,17.149499893188477,17.21470069885254,17.08139991760254,0.009782999753952,0.0311229992657899,8,17.036300659179688,0.0057359999045729,0.0185610000044107,8,16892216,0.998960018157959,17.061199188232422,0.0102920001372694,0.0466470010578632,13,16.977500915527344,17.11079978942871,16.97170066833496,0.0104689998552203,0.0394189991056919,13,16.9153995513916,0.0099099995568394,0.0289719998836517,13,16892216,0.0284957579606391,607046.0,-999.0,-999.0,-999.0,1.3775171891699688e+17,3619909000048061.0,178915452697535.0,0.0,15506725147143.0,13775.0,1.0,1887.0,23.0,0.404325175475632,3619909.0,41657.0,3.0,503635968.0,7.0,60.0,171.89173516,24.79691853,0.0010000000474974,0.0010000000474974,171.8917278897833,24.796885388271708,0.0006630376257632,0.0006602562802,6.96323820153699,-10.713457696355553,0.4477205012473901,0.4437737821617084,56155.22865767423,91.47496795654295,-0.8987252759275708,0.1280399329209854,0.4194027348343132,162.4457186626613,19.503410287459747,215.2708465060233,71.0271198920418,-999.0,10.0,64.0,12.0,15.0,14.0,9.0,14.0,0.9996830224990844,18.202800750732425,0.0072579998522996,0.0213140007108449,10.0,18.1825008392334,18.23970031738281,18.24570083618164,0.009634000249207,0.0343240015208721,12.0,18.1737003326416,0.0061650001443922,0.016992000862956,12.0,115000.0,0.9996269941329956,17.568599700927734,0.003967999946326,0.0130519997328519,10.0,17.55270004272461,17.591100692749023,17.516000747680664,0.0051179998554289,0.0196560006588697,15.0,17.465999603271484,0.0034020000603049,0.0130920000374317,15.0,16892216.0,0.9998639822006226,17.212499618530273,0.012984000146389,0.0334700010716915,11.0,17.15399932861328,17.248699188232422,17.214000701904297,0.0088449995964765,0.0319310016930103,13.0,17.14419937133789,0.0054739997722208,0.0224200002849102,13.0,115000.0,0.9981279969215392,17.180700302124023,0.0074450001120567,0.0244789998978376,7.0,17.149499893188477,17.21470069885254,17.08139991760254,0.009782999753952,0.0311229992657899,8.0,17.036300659179688,0.0057359999045729,0.0185610000044107,8.0,16892216.0,0.998960018157959,17.061199188232422,0.0102920001372694,0.0466470010578632,13.0,16.977500915527344,17.11079978942871,16.97170066833496,0.0104689998552203,0.0394189991056919,13.0,16.9153995513916,0.0099099995568394,0.0289719998836517,13.0,16892216.0,0.0284957579606391,18.11641069129109,17.424982964992523,17.113820688799024,17.01242395490408,16.89576719328761,0.1013143181854825,0.0287397106432961,0.0376672606089984
1443,PSO J171.9038+24.8232,-999,-999,-999,137781719037568447,3619909000050184,178915452699658,0,15506720861675,13778,1,1887,23,0.444820739743133,3619909,41657,3,528801792,7,63,171.90377645,24.82322389,0.0010000000474974,0.0010000000474974,171.90376485846403,24.823181337897232,0.0004503313485118,0.0004502898525226,3.922374623490059,-8.872214997567932,0.2782869594860366,0.2782727146938129,56095.81498202898,498.2439575195313,-0.8985614939360226,0.1278239992821616,0.4198193264047967,162.4446176934311,19.531895783981597,215.19828464133175,71.0431324123721,-999,5,70,10,13,16,15,16,0.9996740221977234,17.822399139404297,0.0076759997755289,0.0214620009064674,6,17.78580093383789,17.830900192260742,16.717100143432617,0.0133610004559159,0.0479060001671314,10,17.335599899291992,0.0420060008764267,0.119157001376152,10,16892216,0.9997159838676452,17.230499267578125,0.0367980003356933,0.1210770010948181,10,17.08489990234375,17.425600051879883,16.049100875854492,0.0351280011236667,0.1111499965190887,12,16.8125,0.0029239999130368,0.0329230017960071,12,16892216,0.9991419911384584,16.52829933166504,0.0271610002964735,0.067732997238636,10,16.41390037536621,16.631000518798828,15.5516996383667,0.0263390000909566,0.0885130017995834,13,16.04759979248047,0.0542029999196529,0.160984992980957,13,16892216,0.999580979347229,16.649700164794922,0.0612279996275901,0.1932159960269928,14,16.367000579833984,16.901599884033203,15.340399742126465,0.0148930000141263,0.0524189993739128,15,16.090499877929688,0.0516039989888668,0.1717790067195892,15,16892216,0.9995700120925904,16.499000549316406,0.0497570000588893,0.1628109961748123,9,16.246700286865234,16.690900802612305,15.211600303649902,0.0225409995764493,0.0577000007033348,13,15.715200424194336,0.0490659996867179,0.2211669981479644,13,16892216,3.305004782972532e-05,607593.0,-999.0,-999.0,-999.0,1.3778171903756845e+17,3619909000050184.0,178915452699658.0,0.0,15506720861675.0,13778.0,1.0,1887.0,23.0,0.444820739743133,3619909.0,41657.0,3.0,528801792.0,7.0,63.0,171.90377645,24.82322389,0.0010000000474974,0.0010000000474974,171.90376485846403,24.823181337897232,0.0004503313485118,0.0004502898525226,3.922374623490059,-8.872214997567932,0.2782869594860366,0.2782727146938129,56095.81498202898,498.2439575195313,-0.8985614939360226,0.1278239992821616,0.4198193264047967,162.4446176934311,19.5318957839816,215.19828464133172,71.0431324123721,-999.0,5.0,70.0,10.0,13.0,16.0,15.0,16.0,0.9996740221977234,17.822399139404297,0.0076759997755289,0.0214620009064674,6.0,17.78580093383789,17.830900192260742,16.717100143432617,0.0133610004559159,0.0479060001671314,10.0,17.335599899291992,0.0420060008764267,0.119157001376152,10.0,16892216.0,0.9997159838676452,17.230499267578125,0.0367980003356933,0.1210770010948181,10.0,17.08489990234375,17.425600051879883,16.049100875854492,0.0351280011236667,0.1111499965190887,12.0,16.8125,0.0029239999130368,0.0329230017960071,12.0,16892216.0,0.9991419911384584,16.52829933166504,0.0271610002964735,0.067732997238636,10.0,16.41390037536621,16.631000518798828,15.5516996383667,0.0263390000909566,0.0885130017995834,13.0,16.04759979248047,0.0542029999196529,0.160984992980957,13.0,16892216.0,0.999580979347229,16.649700164794922,0.0612279996275901,0.1932159960269928,14.0,16.367000579833984,16.901599884033203,15.340399742126465,0.0148930000141263,0.0524189993739128,15.0,16.090499877929688,0.0516039989888668,0.1717790067195892,15.0,16892216.0,0.9995700120925904,16.499000549316406,0.0497570000588893,0.1628109961748123,9.0,16.246700286865234,16.690900802612305,15.211600303649902,0.0225409995764493,0.0577000007033348,13.0,15.715200424194336,0.0490659996867179,0.2211669981479644,13.0,16892216.0,3.305004782972532e-05,17.27790953963995,16.771196465939283,16.017008623108268,16.06645616516471,15.695430744439363,0.0623612593915757,0.02337578574669,0.0377094622613509
1951,PSO J171.8616+24.8498,-999,-999,-999,137821718615680353,3619909000042570,178915452692043,0,15506724726644,13782,1,1887,23,0.224994390481146,3619909,41657,3,503635968,7,60,171.8615966,24.84980978,0.0010000000474974,0.0010000000474974,171.86157786065877,24.84978621267496,0.0001209534497985,0.0001176675906269,6.194200845893945,-16.91682038930007,0.0860677820084054,0.082495683738854,56019.07780940128,14647.91796875,-0.8982740596766089,0.1284579666549177,0.4202407221045909,162.39590705045228,19.540038594412486,215.0947015483953,71.01089025472761,-999,5,81,13,14,18,16,20,0.999800980091095,14.888400077819824,0.0024329998996108,0.0838830024003982,8,14.875100135803224,15.109399795532228,14.949000358581545,0.0032989999745041,0.1065929979085922,13,14.89009952545166,0.0025269999168813,0.0537099987268447,13,115000,0.9997979998588562,14.2076997756958,0.0031630001030862,0.0081620002165436,4,14.199000358581545,14.215200424194336,14.256500244140623,0.0020479999948292,0.0058269998989999,5,14.20639991760254,0.0006760000251233,0.0015869999770075,5,115000,0.999710977077484,13.879300117492676,0.0023640000727027,0.0060939998365938,8,13.86750030517578,13.88819980621338,13.925100326538086,0.0023940000683069,0.0106629999354481,13,13.874799728393556,0.0030199999455362,0.0105600003153085,13,115000,0.9995149970054626,13.739100456237791,0.001230000052601,0.0035629998892545,8,13.73419952392578,13.743399620056152,13.784099578857422,0.0038010000716894,0.0138050001114606,14,13.739299774169922,0.0016129999421536,0.0070190001279115,14,115000,0.9995909929275512,13.646599769592283,0.0033770001027733,0.011133000254631,15,13.627699851989746,13.663299560546877,13.685500144958496,0.0040199998766183,0.0142590003088116,17,13.651300430297852,0.0015739999944344,0.008220000192523,17,115000,0.0466428190161367,608101.0,-999.0,-999.0,-999.0,1.3782171861568035e+17,3619909000042570.0,178915452692043.0,0.0,15506724726644.0,13782.0,1.0,1887.0,23.0,0.224994390481146,3619909.0,41657.0,3.0,503635968.0,7.0,60.0,171.8615966,24.84980978,0.0010000000474974,0.0010000000474974,171.86157786065877,24.84978621267496,0.0001209534497985,0.0001176675906269,6.194200845893945,-16.91682038930007,0.0860677820084054,0.082495683738854,56019.07780940128,14647.91796875,-0.8982740596766089,0.1284579666549177,0.4202407221045909,162.39590705045228,19.540038594412486,215.0947015483953,71.01089025472761,-999.0,5.0,81.0,13.0,14.0,18.0,16.0,20.0,0.999800980091095,14.888400077819824,0.0024329998996108,0.0838830024003982,8.0,14.875100135803224,15.109399795532228,14.949000358581545,0.0032989999745041,0.1065929979085922,13.0,14.89009952545166,0.0025269999168813,0.0537099987268447,13.0,115000.0,0.9997979998588562,14.2076997756958,0.0031630001030862,0.0081620002165436,4.0,14.199000358581545,14.215200424194336,14.256500244140623,0.0020479999948292,0.0058269998989999,5.0,14.20639991760254,0.0006760000251233,0.0015869999770075,5.0,115000.0,0.999710977077484,13.879300117492676,0.0023640000727027,0.0060939998365938,8.0,13.86750030517578,13.88819980621338,13.925100326538086,0.0023940000683069,0.0106629999354481,13.0,13.874799728393556,0.0030199999455362,0.0105600003153085,13.0,115000.0,0.9995149970054626,13.739100456237791,0.001230000052601,0.0035629998892545,8.0,13.73419952392578,13.743399620056152,13.784099578857422,0.0038010000716894,0.0138050001114606,14.0,13.739299774169922,0.0016129999421536,0.0070190001279115,14.0,115000.0,0.9995909929275512,13.646599769592283,0.0033770001027733,0.011133000254631,15.0,13.627699851989746,13.663299560546877,13.685500144958496,0.0040199998766183,0.0142590003088116,17.0,13.651300430297852,0.0015739999944344,0.008220000192523,17.0,115000.0,0.0466428190161367,14.832544218748808,14.165193077176813,13.844280172139408,13.715312346816065,13.631577031686902,0.0021898939752708,0.0118036536304463,0.0173680577781862
