,paliya_RA,paliya_DEC,paliya_Z,distance,raMean,decMean,z_phot,z_phot_err,Absolute_Mag_r,z_phot_xgb,z_phot_err_xgb
0,4.264051,-4.789808,0.098,1.06478227741121,4.24685600863273,-4.79442638149518,0.3510356532913763,0.0632507959771927,-20.66489687384412,0.3926284,0.109292366
1,6.079566,-1.638201,0.038,0.0006110051217448,6.079567289340285,-1.6382111015333791,0.0947786115857534,0.0177591380702712,-23.52641745199745,0.11267078,0.061033096
2,8.159169,-1.009781,0.09172478,0.0019076529028074,8.15917341761042,-1.0098124859157356,0.0732607875845141,0.0237399780556142,-20.282621514412128,0.09370471,0.02620154
3,17.53756,-10.14539,0.05793799,0.0021192765906849,17.537556564401395,-10.145425159002652,0.0574012772777177,0.0133383811284812,-21.392986773184703,0.05508989,0.014026931
4,19.81382,30.32146,0.05130247,0.0011738307007694,19.813802893126685,30.321447166969705,0.0879204699953989,0.024501018023061,-21.229337795940616,0.08941344,0.0241892
5,23.84033,-0.733942,0.09861597,0.0019118766391198,23.8403410881659,-0.733912126497341,0.0756340996978704,0.016653118939615,-20.894823529870997,0.075792074,0.020203738
6,25.70128,-10.14448,0.09021854,0.0007656250349854,25.7012847942424,-10.144468144346355,0.0869886477954363,0.0225441734853254,-20.91004590834213,0.08849652,0.024704196
7,26.68677,-0.6786749,0.08236677,0.221166255863948,26.68816405194716,-0.6752625320385086,0.1702826751379887,0.0167075615945707,-22.59301077556444,0.17044328,0.043790154
8,62.37147,-4.484066,0.03877094,0.0011872729836285,62.37148041087726,-4.484082847446518,0.0655982178085711,0.0218202935375852,-21.07613617386596,0.06584592,0.024036502
9,71.1199,12.35326,0.0893,2.097480688254713,71.15514132342844,12.347183169111757,0.0537434389154768,0.0171149492641228,-20.436252306480142,0.06145796,0.022008235
10,114.1326,38.51622,0.07347495,0.0013997389629435,114.13259927943258,38.51619667783093,0.0839656478910178,0.0260208688603706,-20.89423765352874,0.088378996,0.02850655
11,121.6242,24.33213,0.04134867,0.0002210567609695,121.62420214320088,24.332133124161864,0.064626974436622,0.0131284249932079,-21.33100730150785,0.06635076,0.018883273
12,122.0073,38.32648,0.04116518,0.0015203196466156,122.00731603285664,38.32650199662297,0.0438684728711881,0.0172924098599955,-20.269786603623658,0.05680897,0.021525174
13,122.9939,15.10774,0.08355059,0.0033522287936094,122.99395663091096,15.107728497491845,0.0938588952573893,0.027858911896969,-20.705575474009606,0.10005383,0.029421104
14,126.0926,7.430688,0.08157413,0.0019936178172024,126.0925666774977,7.430691494805466,0.1100034640671337,0.0292291757991449,-21.12857070284189,0.10710683,0.03525128
15,128.009,46.24048,0.04566712,0.000543292295585,128.008987816395,46.24048331411888,0.0511938783653324,0.0139854416598742,-21.225334840006425,0.048289597,0.017031355
16,131.3901,12.36898,0.09564623,0.0015590028780238,131.3900941514211,12.368954652421356,0.1005438903159809,0.0272634684998424,-20.73620214617207,0.10527681,0.029446514
17,131.3979,27.15364,0.09550764,0.0001711761155497,131.39790092126375,27.153637267366413,0.0771218439347503,0.0163686527508366,-21.15609790475594,0.07760484,0.01990202
18,131.4508,29.34866,0.07136694,0.0018229094381159,131.45082233936205,29.34863667856419,0.0715689161071278,0.0157116893006416,-21.407800728971004,0.06793474,0.017575786
19,132.364,32.81468,0.06401076,0.0025201036965769,132.36404394690075,32.81465999974974,0.0634316955553469,0.0142924915483376,-21.069829641107447,0.0612398,0.016343886
20,133.7674,52.88009,0.08959205,0.0012649838435821,133.7673656029015,52.88008631281761,0.084015773517625,0.019505668692985,-20.97169045653579,0.086446166,0.027661987
21,136.8482,17.27121,0.0983,0.5718218367044614,136.85707725611968,17.266854896970667,0.2565571808924244,0.0794692426037493,-20.629565539233493,0.25506356,0.08738437
22,141.162,56.12972,0.02501559,0.0023155138011695,141.16203469,56.1296866,0.0340248464601403,0.010149901141042,-21.72605023760341,0.03564563,0.015136114
23,141.6368,65.6838,0.08683638,0.0020147441232866,180.0520140017462,18.5952491545756,0.0727949708047715,0.0172806630119884,-20.967073584469915,0.08416501,0.021836268
24,143.287,53.79693,0.05695321,0.0010088793830185,182.98951668605,5.966973294959027,0.0659177786660895,0.013772078098181,-21.20321288415039,0.062927976,0.015208904
25,143.7784,14.97907,0.08279813,0.0010825661657116,183.42837704487525,42.4619662258622,0.0710340645044033,0.0162922763186018,-20.955106237120177,0.06345232,0.019485842
26,144.1797,50.88046,0.05547925,0.002205556464595,183.936403485901,59.4442167165321,0.0908921711022696,0.0250560997767866,-20.93106864439608,0.091749296,0.02529035
27,145.7922,60.76642,0.07416076,0.0007950301758979,184.2156838779203,37.910576287682886,0.0597549568060749,0.0165842768090943,-21.132511269491573,0.05372517,0.017101936
28,146.4767,42.64444,0.07453379,1.5019129703823602,185.9892351695765,28.474829943078795,0.388242399043068,0.0727828210052081,-20.498086970157555,0.41581994,0.19288024
