distance,objid,ra,dec,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
0.000722728070789556,1237674366992122584,116.102013531614,33.3429758397967,18.36267,17.18353,16.49426,16.10487,15.71981,0.03195445,0.005150449,0.004205768,0.00395097,0.008511906,0.1923073,0.1498445,0.1036618,0.0770318,0.05729751
0.786581667721254,1237674366992122763,116.107249153954,33.3306255636566,22.44878,21.2522,19.44317,18.75321,18.2347,0.5211024,0.0569328,0.01866058,0.01460107,0.035439,0.1918503,0.1494885,0.1034154,0.07684875,0.05716135
1.33625500280529,1237674366992123370,116.11985252226,33.3264413574142,24.37185,24.86121,21.9373,20.86338,20.17004,1.356402,0.8166431,0.1585688,0.06279249,0.1077555,0.1917062,0.1493762,0.1033377,0.07679101,0.0571184
1.92576328920919,1237674366992123407,116.117558784738,33.3723274455561,24.93724,21.44176,19.87659,19.04589,18.58589,0.6699234,0.0866326,0.02916113,0.01869691,0.04643646,0.1925205,0.1500106,0.1037767,0.07711719,0.05736102
2.1995676909564,1237674366992122623,116.119094796871,33.3767446376134,20.3346,18.32561,17.24484,16.73119,16.4124,0.08126201,0.008750079,0.005598908,0.004975336,0.01097456,0.1925015,0.1499959,0.1037665,0.07710961,0.05735538
2.87113292732192,1237674366992122765,116.090766977425,33.3899035790885,25.43812,21.05937,19.30671,18.65385,18.179,0.532339,0.05983629,0.01795853,0.01397995,0.03818117,0.1937057,0.1509341,0.1044155,0.07759193,0.05771415
2.96638093105411,1237674366992123263,116.102552337519,33.2935424722999,23.42998,22.55546,20.37737,19.26485,18.9268,0.8132226,0.1150012,0.03933029,0.01940106,0.04553287,0.1933041,0.1506212,0.1041991,0.07743107,0.05759449
