distance,objid,ra,dec,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
0.679679457584747,1237654391639638867,118.856703345505,39.1973728630152,23.97263,22.08775,20.45696,19.62039,19.36529,1.002225,0.120704,0.047359,0.02943561,0.07306868,0.2072442,0.1614833,0.1117134,0.08301502,0.06174793
1.30747329165606,1237654391639638895,118.859588394517,39.2076381171227,21.34923,21.32395,20.08611,19.54349,19.0779,0.8611214,0.1297078,0.03649881,0.03279805,0.07228365,0.2071085,0.1613775,0.1116402,0.08296064,0.06170748
1.43854821636441,1237654391639638853,118.884616697829,39.1782192046011,24.98113,22.55917,20.54867,20.03086,19.46269,0.8455706,0.1404169,0.03836138,0.04368164,0.100404,0.2077436,0.1618724,0.1119826,0.08321504,0.0618967
2.05927730524663,1237654391639638885,118.834278281984,39.2162569219681,21.72596,21.67138,20.06992,19.66866,19.03806,0.5315902,0.08973934,0.03249281,0.03191512,0.08800494,0.2062798,0.1607318,0.1111935,0.08262869,0.06146057
2.48959997737925,1237654391639638535,118.907807273508,39.1945663751787,22.38607,20.73057,18.82431,18.17272,17.75566,3.015299,0.0529363,0.01600629,0.01451725,0.03215527,0.2074723,0.161661,0.1118364,0.08310641,0.0618159
2.80458830443708,1237654391639638969,118.901480201844,39.2162526955955,21.207,21.72661,20.03634,19.60486,19.12441,1.05414,0.08907227,0.03337214,0.03544323,0.082293,0.20719,0.161441,0.1116842,0.0829933,0.06173177
4.31934730061544,1237653589017625489,118.783510724254,39.2316925631352,21.50891,21.12866,19.68093,18.93467,17.91402,0.4059978,0.1406813,0.03145217,0.02410629,0.05294802,0.2044932,0.1593397,0.1102305,0.08191305,0.06092826
4.39564520157268,1237653589017624691,118.76508269842,39.2077228855247,20.30722,17.75868,16.80268,16.32327,16.00081,0.07180022,0.008293684,0.005128372,0.004839403,0.009379468,0.2031555,0.1582974,0.1095094,0.0813772,0.06052969
5.00222440688596,1237654391639638693,118.852444414354,39.1027511109349,23.16774,21.39103,19.27205,18.70779,18.12729,0.429486,0.06531211,0.0210005,0.01840689,0.04972307,0.2004677,0.1562031,0.1080606,0.08030058,0.05972888
5.13084573525723,1237653589017625023,118.844409171798,39.2711792216447,20.6216,18.53604,17.55125,17.07987,16.66213,0.08605593,0.009191154,0.005923255,0.005747874,0.01134672,0.2060189,0.1605286,0.1110529,0.08252422,0.06138286
5.40978036360227,1237654391639703583,118.960203998344,39.2252587126771,20.66171,18.42154,17.35607,16.94301,16.66505,0.08553553,0.009280865,0.005749503,0.005840048,0.01450313,0.2070096,0.1613005,0.1115869,0.08292103,0.06167801
