distance,objid,ra,dec,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
0.175397593657868,1237662504293892161,239.791672998013,35.027235784591,24.63466,21.69999,21.18616,20.71622,20.78462,1.549845,0.0811528,0.1657442,0.2000825,0.54173,0.1056246,0.08230195,0.05693611,0.04230963,0.03147059
1.88440576678434,1237662504293892616,239.751757084399,35.0306405515644,23.07725,22.68209,20.5554,19.69828,18.03009,0.802363,0.1923392,0.0499771,0.03489274,0.08761318,0.1068293,0.08324067,0.05758552,0.04279221,0.03182954
2.25865179488227,1237662474765992569,239.779321031652,35.0664552900589,25.85286,21.44003,20.60164,19.72106,19.52859,0.5206746,0.138891,0.05481336,0.03857693,0.09007099,0.1042715,0.08124764,0.05620674,0.04176763,0.03106744
3.27944968418461,1237662474765992484,239.756560306492,35.0771210030181,23.7885,21.75917,20.59575,19.66473,19.35856,0.7467622,0.09238064,0.03543574,0.02615388,0.05765978,0.1038456,0.08091579,0.05597717,0.04159704,0.03094056
4.26905430794135,1237662504293892541,239.705485658008,35.0460697430855,20.55315,21.70681,20.25862,19.44128,18.77071,0.3863871,0.09771731,0.04271924,0.03324066,0.09987727,0.106969,0.08334952,0.05766081,0.04284816,0.03187116
4.60742939647693,1237662474765992350,239.858668481833,35.0822647608166,23.47952,20.71298,19.84835,19.10561,18.61056,1.39286,0.08370674,0.02661631,0.02044722,0.04471095,0.1015073,0.0790938,0.05471672,0.04066039,0.03024386
4.9482058117438,1237662474765927292,239.747993997518,35.1047841720721,26.69335,22.17438,20.50802,19.49376,19.46048,0.5303692,0.1605966,0.03884118,0.02576813,0.06728828,0.1016302,0.07918957,0.05478298,0.04070963,0.03028048
5.45766231667862,1237662474765992730,239.880843024384,35.0823594880551,19.98755,22.18335,20.15176,19.48447,19.22196,0.4174042,0.1343041,0.03812868,0.02687832,0.06316504,0.1007982,0.07854129,0.0543345,0.04037636,0.03003259
6.19325445211184,1237662504293826803,239.672667786033,35.0674381476367,19.74358,18.12025,17.35257,16.95593,16.7096,0.06234761,0.008266915,0.006319524,0.006263493,0.01787513,0.1072834,0.08359446,0.05783026,0.04297408,0.03196482
6.19448692601176,1237662504293957928,239.825082797356,34.9306772305266,21.08605,20.63785,19.08957,18.43752,17.93672,0.3482082,0.05069696,0.01850591,0.01502961,0.04784172,0.1123462,0.08753938,0.06055934,0.04500208,0.03347328
