,raMean,decMean,gMeanKronMag,rMeanKronMag,iMeanKronMag,zMeanKronMag,yMeanKronMag,gMeanKronMagErr,rMeanKronMagErr,iMeanKronMagErr,zMeanKronMagErr,yMeanKronMagErr,spec_redshift,spec_redshift_error
0,0.004289497093865,-10.946660637811538,19.01880073547364,18.00830078125,17.516599655151367,17.32550048828125,17.180999755859375,0.0197819992899894,0.0169040001928806,0.0138670001178979,0.0099959997460246,0.0334139987826347,0.1711899,2.325107e-05
1,0.0118873773560513,-10.632276170756075,20.322799682617188,18.97699928283692,18.38190078735352,18.10810089111328,18.025999069213867,0.0658679977059364,0.0152460001409053,0.0185039993375539,0.0216850005090236,0.0284759998321533,0.05594109,1.470209e-05
2,0.0138934058517599,-10.721076257438485,17.96339988708496,17.141199111938477,16.499099731445312,16.327699661254883,16.133699417114258,0.0045130001381039,0.0155100002884864,0.0228020008653402,0.012415999546647,0.007230999879539,0.2314751,4.463738e-05
3,0.019181416325337,-10.97633447293727,17.97480010986328,17.559499740600586,17.29319953918457,17.22559928894043,17.184200286865234,0.0086880000308156,0.008980999700725,0.0068270000629127,0.0100229997187852,0.0331900008022785,0.1059666,5.140887e-06
4,0.0389547191366646,-10.376246264318736,-999.0,20.44389915466309,19.56730079650879,19.246400833129883,18.99239921569824,-999.0,0.0650660023093223,0.0361180007457733,0.028711000457406,0.0725210011005401,0.1191214,1.140232e-05
5,0.0414477484888153,-10.88782719105292,21.63479995727539,20.69750022888184,19.85020065307617,19.477399826049805,19.322399139404297,0.2368270009756088,0.0608120001852512,0.0281220003962516,0.0389109998941421,0.1229650005698204,0.1036336,2.719332e-05
6,0.0473923184598546,-11.189838547295953,18.75900077819824,17.752599716186523,17.335800170898438,17.112300872802734,16.97450065612793,0.0197490006685256,0.0109409997239708,0.0095849996432662,0.0158580001443624,0.0236729998141527,0.1499253,3.391726e-05
7,0.0514900153191977,-10.536292082862262,18.123899459838867,17.317100524902344,16.791099548339844,16.606599807739258,16.454999923706055,0.0122940000146627,0.0127760004252195,0.0067380000837147,0.0105560002848505,0.0278299991041421,0.108176,1.373441e-05
8,0.0587155474867854,-10.479411875865754,17.154300689697266,16.261499404907227,15.819899559020996,15.553199768066406,15.485600471496582,0.0297999996691942,0.0156980007886886,0.0123239997774362,0.0078140003606677,0.0239230003207921,0.184446,3.420508e-05
9,0.0643450847487489,-10.25777332712666,21.26180076599121,19.87660026550293,19.291900634765625,19.01259994506836,18.77300071716309,0.130631998181343,0.0345490016043186,0.0204029995948076,0.0298829991370439,0.0765819996595382,0.2471517,4.537741e-05
10,0.0711286159023208,-10.438301907346082,21.47800064086914,20.47069931030273,19.79780006408692,19.553199768066406,19.38800048828125,0.0600959993898868,0.079195000231266,0.0216559991240501,0.0335110016167163,0.0189270004630088,0.04410825,1.208422e-05
11,0.0793192510928107,-10.883051991500627,17.96190071105957,17.469999313354492,17.117000579833984,17.00979995727539,16.895700454711914,0.0079420004040002,0.0043609999120235,0.0093090003356337,0.0079819997772574,0.0169399995356798,0.1764663,3.791264e-05
12,0.0856488074295809,-10.346897369765252,18.10219955444336,17.56100082397461,17.24370002746582,17.111900329589844,17.0492000579834,0.0161639992147684,0.0057890000753104,0.0091439997777342,0.0146840000525116,0.0263069998472929,0.04005456,6.598681e-06
13,0.1014079146847934,-10.403358108775064,18.42539978027344,17.516599655151367,17.18589973449707,16.858999252319336,16.7987003326416,0.015107000246644,0.0073429998010396,0.0179549995809793,0.0125670004636049,0.0137269999831914,0.04584714,1.20037e-05
14,0.1039281274098065,-10.800481580709972,18.858200073242188,17.87700080871582,17.479700088500977,17.24920082092285,17.16510009765625,0.011299000121653,0.0058659999631345,0.0119920000433921,0.0121659999713301,0.0240930002182722,0.207031,3.667103e-05
15,0.1208897036619059,-10.988019657667616,-999.0,20.664899826049805,19.757999420166016,19.47069931030273,19.46820068359375,-999.0,0.0551100000739097,0.0406309999525547,0.048700001090765,0.0458290018141269,0.06968269,1.07272e-05
16,0.1332896669089472,-10.556120976068032,18.43120002746582,17.66080093383789,17.257999420166016,17.04210090637207,16.83060073852539,0.0112950000911951,0.0058789998292922,0.010916999541223,0.0058559998869895,0.0127119999378919,0.06438889,1.35521e-05
17,0.1443271162675258,-10.658259132215171,18.64189910888672,17.65049934387207,17.20439910888672,16.9606990814209,16.80820083618164,0.0178059991449117,0.0084549998864531,0.009549000300467,0.0134469997137784,0.0233939997851848,0.1080224,3.71349e-05
18,0.1469953208927031,-10.646112112059129,-999.0,20.82929992675781,20.10169982910156,-999.0,20.07830047607422,-999.0,0.0701889991760253,0.0303440000861883,-999.0,0.2428970038890838,0.3025203,5.062167e-05
20,0.1660670373639171,-11.157701098571076,16.802499771118164,16.04129981994629,15.685999870300291,15.49489974975586,15.308500289916992,0.0043859998695552,0.0060140001587569,0.0064059998840093,0.0062690000049769,0.0122509999200701,0.1826579,6.021552e-05
19,0.1660735852850499,-10.486777699595848,-999.0,20.42040061950684,19.827299118041992,19.543699264526367,19.464599609375,-999.0,0.0700770020484924,0.0491040013730526,0.0474169999361038,0.0870210006833076,0.04636011,6.711046e-06
21,0.1692300209783693,-10.671787509736433,-999.0,20.73970031738281,19.95249938964844,19.593700408935547,19.318099975585938,-999.0,0.0519689992070198,0.0298120006918907,0.0575780011713504,0.0726329982280731,0.07510848,2.72692e-05
22,0.1812694433325598,-10.51474655331062,21.42180061340332,20.604700088500977,19.91449928283692,19.51449966430664,19.15449905395508,0.2217250019311905,0.0755710005760192,0.0328250005841255,0.0455260016024112,0.0658150017261505,0.2521665,6.067131e-05
23,0.1822023600992268,-10.422623782082423,18.5905990600586,17.80459976196289,17.44099998474121,17.285200119018555,17.24690055847168,0.0242389999330043,0.0093059996142983,0.0076219998300075,0.0076259998604655,0.0269499998539686,0.1517258,3.510309e-05
24,0.18284956906081,-10.55223868110338,-999.0,20.451499938964844,19.60659980773925,19.270999908447266,18.993099212646484,-999.0,0.0508860014379024,0.0375580005347728,0.0479589998722076,0.0929069966077804,0.1242731,1.933782e-05
25,0.1866177509472522,-10.405796863701596,16.52989959716797,16.102699279785156,15.656399726867676,15.51930046081543,15.298100471496582,0.0243900008499622,0.0121320001780986,0.0010809999657794,0.0181380007416009,0.0494569987058639,0.06327108,9.034113e-06
26,0.1979171598363841,-11.103513151103517,19.57819938659668,18.195899963378903,17.6033992767334,17.411699295043945,17.412599563598633,0.0374840013682842,0.0180239994078874,0.0160479992628097,0.0287439990788698,0.0455080009996891,0.1937328,2.78968e-05
