distance,objid,ra,dec,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sdss_photo_redshift,sdss_photo_redshift_error,photoErrorClass,specObjID,spec_redshift,spec_redshift_error
1.04903637095984,1237679320163287420,0.42175263630412,11.1758884794213,21.93596,21.7651,20.27299,19.37345,18.7945,0.4843049,0.139954,0.06833037,0.04716909,0.1098154,0.2986684,0.2327204,0.1609949,0.1196365,0.08898755,0.498422,0.038678,1,6960529656866166784,0.5511317,0.0001678665
1.49420132594193,1237679320163287164,0.459981870376851,11.1770246133322,18.95205,17.40968,16.35541,15.83608,15.4913,0.06577896,0.006160393,0.00407237,0.003906975,0.007205465,0.2969422,0.2313753,0.1600644,0.118945,0.08847322,0.119487,0.015277,1,6960530481499887616,0.08758612,1.264535e-05
0.346984722160421,1237663543696621698,1.42221276653947,0.321697007632148,20.06075,18.83652,18.37798,18.23715,17.94612,0.07596141,0.01132531,0.01139094,0.01241158,0.04083854,0.241196,0.1879383,0.1300148,0.09661494,0.07186377,0.06238,0.028952,1,1227357116122032128,0.09404026,7.065514e-06
1.1407189785989,1237663543696622028,1.40956603590053,0.301315912013915,22.78299,20.74008,20.47812,19.61454,19.49203,0.4085165,0.116735,0.04667574,0.03070679,0.08392112,0.2257343,0.1758907,0.1216803,0.09042154,0.06725701,0.501451,0.033609,1,4747068152411871232,0.5093543,0.0001547772
1.14873949363926,1237663543696622397,1.4019024746591,0.30727592024153,24.80585,21.86102,20.18043,19.02924,18.44715,0.7898024,0.180189,0.04372244,0.02390971,0.06427105,0.2305984,0.1796807,0.1243023,0.0923699,0.06870624,0.569846,0.026682,1,4748097295312246784,0.5354804,0.0001197063
2.28927986364889,1237663543696621713,1.45487077894052,0.312228664947512,20.39768,19.53466,19.21547,19.00261,18.62714,0.07503585,0.01616305,0.01904229,0.02170974,0.08129807,0.2446413,0.1906229,0.131872,0.09799505,0.07289031,0.099057,0.027915,1,1227353542709241856,0.09427749,6.087572e-06
0.528911519711088,1237679319094329441,11.5313602222875,10.1486919179276,19.83409,19.1919,17.93405,17.43252,16.93353,0.2670085,0.02067319,0.01020882,0.008751733,0.02058344,0.3697688,0.2881213,0.199321,0.1481169,0.1101717,0.196659,0.02248,1,5114103281678047232,0.2077691,4.187566e-05
3.21540920032896,1237649919501271390,11.8336375307445,14.6499792034966,21.12695,22.08886,20.59861,19.25346,18.61357,0.7151943,0.221577,0.07022286,0.03979354,0.09783266,0.4505417,0.3510591,0.242861,0.1804718,0.1342379,0.597044,0.035478,1,6984049036493084672,0.5789245,0.0001372678
3.57488755690623,1237653651839975718,11.8685683940821,14.750586048279,20.29153,18.04474,17.62738,17.42707,17.18193,0.1265388,0.01526565,0.01477706,0.01550617,0.04954896,0.416905,0.3248496,0.2247294,0.1669981,0.1242159,0.051839,0.020511,1,472963754171066368,0.03947097,1.006666e-05
4.30460524870193,1237653651839975987,11.8928734923966,14.7428090514306,19.78313,22.58004,20.46343,19.30354,18.69471,0.4228882,0.1795775,0.06277388,0.03316758,0.1253288,0.4072898,0.3173575,0.2195464,0.1631465,0.121351,0.501598,0.029927,1,6984050410882619392,0.4758622,0.0001676218
