,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,Unnamed: 0,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
49,PSO J231.6716+06.9384,-999,-999,-999,116322316716336647,3499828000012784,66361539703280,0,14441140264646,11632,1,1469,72,0.689116614581194,3499828,15451,3,436527104,7,52,231.67162367,6.93847545,0.0010000000474974,0.0010000000474974,231.67161949934905,6.9384229161069895,0.0016840800988424,0.0017644854241423,-11.197023119252664,-2.238670259788028,1.1591263352721162,1.1977194713420467,56169.21044083062,6.381172180175781,-0.6156259171034358,-0.7787242589003144,0.1208025611926743,227.2685398683023,24.87202041250339,11.423353774008383,48.029455351241246,-999,5,78,13,11,24,14,16,0.99966698884964,19.231300354003903,0.0132609996944665,0.0462139993906021,12,19.1879997253418,19.324899673461918,19.34480094909668,0.0148000000044703,0.0680869966745376,13,19.25690078735352,0.0159130003303289,0.0630820021033287,13,115000,0.999916970729828,18.907699584960938,0.0024200000334531,0.0368020012974739,9,18.8612003326416,18.99920082092285,18.95050048828125,0.0125970002263784,0.0625440031290054,9,18.864200592041016,0.0079600000753998,0.0340400002896785,9,115000,0.9996799826622008,18.806299209594727,0.0080700004473328,0.0293029993772506,20,18.742599487304688,18.84309959411621,18.902999877929688,0.0138649996370077,0.0431049987673759,20,18.80929946899414,0.0093000000342726,0.0419230014085769,20,115000,0.9997180104255676,18.771299362182617,0.0128070004284381,0.0447520017623901,14,18.68549919128418,18.82699966430664,18.877899169921875,0.0189599990844726,0.0859569981694221,14,18.78470039367676,0.0113730002194643,0.0520000010728836,14,115000,0.9994029998779296,18.74970054626465,0.0268360003829002,0.1171019971370697,15,18.47879981994629,18.943199157714844,18.84630012512207,0.0293230004608631,0.1866219937801361,15,18.72769927978516,0.0339369997382164,0.1667869985103607,15,115000,0.0586566761910914,1081625.0,0.09737971,0.4518486131436424,407.7446283815733,-19.295789081356325,0.0001141666179565
99,PSO J231.6837+06.9340,-999,-999,-999,116322316837641403,3499828000014138,66361539704634,0,14441140540887,11632,1,1469,72,0.0473621404239555,3499828,15451,3,436527104,7,52,231.68371431,6.93405724,0.0010000000474974,0.0010000000474974,231.683710617512,6.934020363550191,0.016912668372938,0.016912668372938,34.3418419878262,-19.616619220361663,10.670239874763526,10.670239874763526,55971.841304591,3.5564932823181152,-0.6154673226160949,-0.7788614376232483,0.1207262845250467,227.28259556488808,24.87105081839395,11.427769196056028,48.01701210694292,-999,5,21,1,4,6,8,2,0.9993640184402466,21.951000213623047,0.161079004406929,-999.0,1,21.951000213623047,21.951000213623047,22.154600143432617,0.2712540030479431,-999.0,1,22.01110076904297,0.161079004406929,-999.0,1,115000,0.9992650151252748,21.40959930419922,0.1324869990348816,0.2550230026245117,4,21.063400268554688,21.66659927368164,21.255199432373047,0.1615390032529831,0.3845149874687195,3,21.28059959411621,0.1467539966106414,0.3390060067176819,4,115000,0.9996569752693176,21.090999603271484,0.1296440064907074,0.1502390056848526,6,20.895299911499023,21.253999710083008,20.868099212646484,0.0128130000084638,0.221670001745224,4,20.84830093383789,0.07515200227499,0.0673590004444122,6,115000,0.9994590282440186,20.84160041809082,0.0408000014722347,0.2248270064592361,8,20.433500289916992,21.17569923400879,20.874099731445312,0.0616649985313415,0.1643500030040741,7,20.785499572753903,0.0604429990053176,0.1457709968090057,8,115000,0.9990469813346864,20.350799560546875,0.1800799965858459,0.2548210024833679,2,20.17690086364746,20.53700065612793,20.153099060058597,0.0660739988088607,0.0937030017375946,2,20.1028995513916,0.1025310009717941,0.1450770050287246,2,115000,0.0669382457390754,1081675.0,0.6717738,0.3260512700708038,2423.022066370588,-20.749013149812747,1.2327940266826953e-05
109,PSO J231.6874+06.9374,-999,-999,-999,116322316873765379,3499828000014572,66361539705068,0,14441140661958,11632,1,1469,72,0.877105972615169,3499828,15451,3,444915712,7,53,231.68741671,6.93743928,0.0010000000474974,0.0010000000474974,231.68741210907297,6.937400874361899,0.0077766215476588,0.0077766215476588,-39.683596536125634,-26.18636345086008,5.608779804940047,5.608779804940047,56160.100594214266,10.312250137329102,-0.615412587408032,-0.7788956068360651,0.1207848538154906,227.28548247833828,24.87530188682551,11.435013876566206,48.01580929080483,-999,5,65,9,15,24,15,2,0.9997410178184508,21.77510070800781,0.074874997138977,0.2454310059547424,9,21.55039978027344,22.171199798583984,21.589099884033203,0.0725279971957206,0.1922470033168792,9,21.6387996673584,0.1086689978837966,0.3648769855499267,9,115000,0.9996979832649232,20.975400924682617,0.0730789974331855,0.1997569948434829,14,20.600099563598636,21.24860000610352,20.504199981689453,0.0642039999365806,0.3332880139350891,13,20.47620010375977,0.0816920027136802,0.3605389893054962,14,16892216,0.9997119903564452,20.900299072265625,0.0521019995212554,0.2469539940357208,22,20.372299194335938,21.180400848388672,20.17180061340332,0.0362650007009506,0.1994169950485229,23,20.17959976196289,0.0336910001933574,0.1775590032339096,24,16892216,0.9994320273399352,20.743000030517575,0.0748910009860992,0.3561590015888214,12,20.10540008544922,21.20770072937012,20.047399520874023,0.0390349999070167,0.1806219965219497,13,20.03230094909668,0.0549569986760616,0.2720020115375519,13,16892216,0.9975020289421082,20.255300521850582,0.1218160018324852,0.1727609932422638,2,20.12430000305176,20.367900848388672,19.487499237060547,0.1128130033612251,0.1689890027046203,2,19.50239944458008,0.1319980025291443,0.1872099936008453,2,16892216,0.0655612654409188,1081685.0,0.42548597,0.3915909770101049,1639.334577596925,-20.705080935927807,2.586408838657761e-05
127,PSO J231.6232+06.9595,-999,-999,-999,116352316231761889,3499828000006929,66361539697424,0,14441114185288,11635,1,1469,72,0.61267498006362,3499828,15451,3,436527104,7,52,231.62322822,6.95953939,0.0010000000474974,0.0010000000474974,231.6232320460838,6.959463889740694,0.0076998675302754,0.0076998675302754,-11.230350604934966,-7.488166571902779,6.087722269925284,6.087722269925284,56182.20703812281,3.2810308933258057,-0.6162557626566417,-0.7781692421204552,0.1211670978861717,227.2112890403982,24.879200852370367,11.409975271983935,48.08112043847859,-999,5,55,11,11,20,11,2,0.999360978603363,21.51639938354492,0.0305829998105764,0.1246130019426345,10,21.284099578857425,21.696399688720703,21.70479965209961,0.097120001912117,0.3395760059356689,9,21.901199340820312,0.0798550024628639,0.228203997015953,10,115000,0.9990959763526917,20.96619987487793,0.030698999762535,0.2053399980068206,11,20.570600509643555,21.42259979248047,20.992599487304688,0.1023060008883476,0.4402010142803192,10,20.90539932250977,0.0889270007610321,0.5913190245628357,11,115000,0.9991580247879028,20.80229949951172,0.0349979996681213,0.1092260032892227,18,20.57040023803711,21.01469993591309,20.99049949645996,0.0427099987864494,0.2517080008983612,18,20.970199584960938,0.0637720003724098,0.2282570004463195,18,115000,0.9987760186195374,20.67110061645508,0.0388009995222091,0.1078739985823631,10,20.548999786376957,20.827699661254883,20.73200035095215,0.0617909990251064,0.2442499995231628,10,20.7283992767334,0.0561649985611438,0.1963209956884384,10,115000,0.9980430006980896,20.633100509643555,0.2960579991340637,0.5897039771080017,2,20.043399810791016,20.63559913635254,20.635900497436523,0.1853850036859512,0.3683570027351379,2,21.127099990844727,0.0003999999898951,-999.0,2,115000,0.0479073100056394,1081703.0,0.7958759,0.7812000334326603,2776.3710696287067,-21.42177945574492,1.7448446319386227e-05
146,PSO J231.6301+06.9660,-999,-999,-999,116352316300849691,3499828000007764,66361539698259,0,14441114211628,11635,1,1469,72,0.702602082586477,3499828,15451,3,444915712,7,53,231.63005966,6.9660461,0.0010000000474974,0.0010000000474974,231.6300602175326,6.96597840090894,0.0037742622379658,0.0037742622379658,0.2785032810079286,7.9771778000220035,2.675909696292122,2.675909696292122,56164.34281124528,7.850780010223389,-0.6161544650238953,-0.778231872108008,0.1212799590467542,227.216525281683,24.887317729324213,11.42371008326412,48.07905969815282,-999,5,66,10,13,22,11,10,0.9993910193443298,20.92770004272461,0.0833100005984306,0.2843680083751678,9,20.51180076599121,21.20770072937012,20.2898006439209,0.0422680005431175,0.0998539999127388,9,20.21260070800781,0.0489949993789196,0.1442169994115829,9,16892216,0.9996039867401124,19.82749938964844,0.0160089991986751,0.1746640056371688,9,19.726299285888672,20.198400497436523,19.36429977416992,0.032039999961853,0.1338170021772384,12,19.35169982910156,0.0345750004053115,0.146367996931076,12,16892216,0.999705970287323,19.965499877929688,0.0306490007787942,0.1775999963283538,16,19.624900817871094,20.0939998626709,19.020099639892575,0.0225600004196167,0.121907003223896,21,19.109899520874023,0.0318990014493465,0.1162820011377334,21,16892216,0.9992470145225524,19.840499877929688,0.0225600004196167,0.0851029977202415,8,19.71220016479492,19.90439987182617,18.828800201416016,0.0148539999499917,0.0930529981851577,10,18.99169921875,0.0360370017588138,0.1012130007147789,10,16892216,0.9984530210494996,19.42510032653809,0.0490659996867179,0.1751260012388229,10,19.01449966430664,19.622100830078125,18.715900421142575,0.0283530000597238,0.1224920004606247,10,18.741600036621094,0.0293359998613595,0.1071740016341209,10,16892216,0.0385328970535757,1081722.0,0.24594827,0.3294156125571386,992.8218155325296,-20.742367823896007,7.298010882569047e-05
166,PSO J231.6440+06.9592,-999,-999,-999,116352316439191565,3499828000009416,66361539699912,0,14441114016653,11635,1,1469,72,0.0270974980919599,3499828,15451,3,444915712,7,53,231.6439739,6.95921837,0.0010000000474974,0.0010000000474974,231.6439805551373,6.95915320071627,0.0050872345096102,0.0050872345096102,-19.94729151777125,3.338819527793383,3.88129436762479,3.88129436762479,56207.63631976142,6.392713069915772,-0.6159743316960945,-0.778392870881656,0.1211617152906118,227.23323067282087,24.88451323156318,11.426598137546856,48.06376942521057,-999,5,67,10,15,24,13,5,0.9998130202293396,21.427000045776367,0.0591470003128051,0.1433070003986358,8,21.19300079345703,21.62459945678711,21.22150039672852,0.0642329975962638,0.1974399983882904,8,21.129600524902344,0.084926001727581,0.2474340051412582,8,16892216,0.9997329711914062,20.48660087585449,0.0318850018084049,0.1328350007534027,13,20.272499084472656,20.65489959716797,20.190000534057617,0.0432780012488365,0.1985400021076202,15,20.125,0.0384379997849464,0.1767390072345733,15,16892216,0.9997140169143676,20.41670036315918,0.0447419993579387,0.1950079947710037,20,19.933900833129883,20.629600524902344,19.76959991455078,0.0238920003175735,0.1709460020065307,24,19.78730010986328,0.0285229999572038,0.1458799988031387,24,16892216,0.9992280006408693,20.22800064086914,0.0359160006046295,0.1841109991073608,13,19.824499130249023,20.456899642944336,19.536800384521484,0.0408030003309249,0.1564739942550659,13,19.603900909423828,0.0451209992170333,0.1614679992198944,13,16892216,0.9993749856948853,19.995899200439453,0.0418119989335536,0.1083180010318756,5,19.902700424194336,20.126100540161133,19.271900177001957,0.0659170001745224,0.179638996720314,5,19.36840057373047,0.0905579999089241,0.2406339943408966,5,16892216,0.0376023804897281,1081742.0,0.32570168,0.2920176817400846,1288.1382986145493,-20.533963670712797,3.5781659840722685e-05
167,PSO J231.6447+06.9623,-999,-999,-999,116352316447455271,3499828000009489,66361539699985,0,14441114017420,11635,1,1469,72,0.787929603632474,3499828,15451,3,503635968,7,60,231.64473866,6.9623291,0.0010000000474974,0.0010000000474974,231.64473661047788,6.9622594134180265,0.0003417465026437,0.0003607345793518,-18.679638156344254,-15.091345542222824,0.2636779398534803,0.2765518906221586,56230.47384049742,12.142407417297363,-0.6159599832719465,-0.7783958468880576,0.1212155293477161,227.23308778175704,24.88769456836848,11.431074791738087,48.06485903837824,-999,5,80,11,16,24,14,15,0.9994410276412964,17.074100494384766,0.0039909998886287,0.0191530007869005,9,17.05389976501465,17.118499755859375,17.13479995727539,0.0020590000785887,0.0319410003721714,9,17.07029914855957,0.0018090000376105,0.0201060008257627,9,115000,0.9996899962425232,16.642499923706055,0.0032299999147653,0.0120390001684427,13,16.62220001220703,16.664199829101562,16.699600219726562,0.0037440001033246,0.0136209996417164,14,16.639999389648438,0.0020230000372976,0.0067710001021623,14,115000,0.9995949864387512,16.47909927368164,0.0027999999001622,0.0116590000689029,19,16.463600158691406,16.502099990844727,16.54640007019043,0.0016670000040903,0.0077789998613297,23,16.482799530029297,0.0024349999148398,0.0107060000300407,23,115000,0.999442994594574,16.42930030822754,0.0022229999303817,0.0099750002846121,12,16.41860008239746,16.45039939880371,16.49139976501465,0.0046560000628232,0.0179760009050369,13,16.43400001525879,0.0019499999471008,0.0098069999366998,13,115000,0.9995499849319458,16.386199951171875,0.0038250000216066,0.0391380004584789,15,16.366899490356445,16.508699417114258,16.453699111938477,0.009269000031054,0.1027849987149238,15,16.388900756835938,0.0054190000519156,0.0163499992340803,15,115000,0.0344172587308378,1081743.0,0.054087635,0.8519254471623037,228.794166079934,-20.26643413470711,0.0008865102495071
239,PSO J231.6720+06.9758,-999,-999,-999,116372316721061368,3499828000012845,66361539703341,0,14441143100665,11637,1,1469,72,0.786722542519423,3499828,15451,3,444915712,7,53,231.6720487,6.97586834,0.0010000000474974,0.0010000000474974,231.67204362881964,6.975811206380238,0.0114002635467082,0.0114002635467082,-30.41670884141976,46.546730012912406,10.18581239486712,10.18581239486712,56228.3052602562,7.049145221710205,-0.6155711344573924,-0.7786668104961695,0.1214503052880528,227.2577834982895,24.908115885650016,11.470358247885803,48.04971292334511,-999,5,36,1,9,13,10,3,0.9991980195045472,20.970199584960938,0.1434790045022964,-999.0,1,20.970199584960938,20.970199584960938,19.9950008392334,0.1598760038614273,-999.0,1,20.22520065307617,0.1434790045022964,-999.0,1,16892208,0.9997050166130066,21.48150062561035,0.0541660003364086,0.1593469977378845,9,21.17770004272461,21.632200241088867,21.184799194335938,0.1116129979491233,0.2644380033016205,8,21.095800399780277,0.1152810007333755,0.3166809976100921,9,115000,0.9991340041160583,20.96339988708496,0.0907490029931068,0.2219450026750564,12,20.702899932861328,21.372699737548828,20.375200271606445,0.0493340007960796,0.2740299999713897,13,20.418399810791016,0.0522370003163814,0.2447600066661834,13,16892216,0.9994459748268129,20.80940055847168,0.0610899999737739,0.1602530032396316,7,20.597700119018555,21.031099319458008,20.12980079650879,0.0915720015764236,0.2832860052585602,7,20.143400192260746,0.1045320034027099,0.2777090072631836,7,16892216,0.9982950091362,20.03319931030273,0.064310997724533,0.1138890013098716,3,19.962099075317383,20.174400329589844,19.965999603271484,0.1911740005016327,0.3160159885883331,3,20.00819969177246,0.1569679975509643,0.2621699869632721,3,115000,0.0250592416790496,1081815.0,0.60356945,0.5529741458981583,2217.366244298426,-20.74248707138448,1.4632548251201069e-05
292,PSO J231.6883+06.9821,-999,-999,-999,116372316882649074,3499828000014670,66361539705166,0,14441143190743,11637,1,1469,72,0.995081720869133,3499828,15451,3,503635968,7,60,231.68827228,6.9821787,0.0010000000474974,0.0010000000474974,231.6882695736916,6.982134681929312,0.0009372071028532,0.0009784498363629,3.754649962598429,-10.896566848628376,0.696614436036852,0.733386403125412,56208.50378899638,4.0738525390625,-0.6153422809539626,-0.7788305845303042,0.1215598530377499,227.2729827825304,24.91857829572345,11.491523678174248,48.03975001951074,-999,5,75,13,15,24,12,11,0.9996780157089232,20.581300735473636,0.0249300003051757,0.0895569995045661,13,20.45890045166016,20.73139953613281,20.701799392700195,0.0396279990673065,0.1544660031795501,13,20.645099639892575,0.0406120009720325,0.2040449976921081,13,115000,0.9996979832649232,19.38969993591309,0.0152540002018213,0.0458539985120296,13,19.31760025024414,19.47450065612793,19.44499969482422,0.0184460002928972,0.0687920004129409,13,19.336200714111328,0.0120390001684427,0.0793929994106292,13,115000,0.9996619820594788,18.17609977722168,0.0039130002260208,0.0154520003125071,24,18.13990020751953,18.20439910888672,18.26309967041016,0.0071950000710785,0.0348660014569759,24,18.1835994720459,0.0041579999960958,0.0242250002920627,24,115000,0.9991909861564636,17.627500534057617,0.0058749997988343,0.020898999646306,12,17.59950065612793,17.669700622558594,17.697500228881836,0.00978699978441,0.0377440005540847,12,17.62689971923828,0.005543999839574,0.0235440004616975,12,115000,0.9992219805717468,17.35580062866211,0.012241999618709,0.0402369983494281,11,17.269500732421875,17.40519905090332,17.46139907836914,0.0160409994423389,0.0951939970254898,11,17.367399215698242,0.0087489997968077,0.0498570017516613,11,115000,0.0347607247653066,1081868.0,0.4153177,0.667259646774367,1604.465719770952,-21.7995471543072,7.398743586335048e-05
297,PSO J231.6905+06.9798,-999,-999,-999,116372316905316137,3499828000014916,66361539705412,0,14441143197600,11637,1,1469,72,0.484477083649931,3499828,15451,3,444915712,7,53,231.69052219,6.97987858,0.0010000000474974,0.0010000000474974,231.6905303030448,6.979836945558928,0.0106569279914292,0.0106569279914292,1.9037994989631803,9.946335598646582,8.841438976965955,8.841438976965955,56257.37335654126,9.005085945129395,-0.6153145715359779,-0.7788586881878709,0.1215200472751922,227.2760448829873,24.916978730490765,11.490503302495032,48.03661869517474,-999,5,41,1,10,17,8,5,0.999019980430603,21.68429946899414,0.1917220056056976,-999.0,1,21.68429946899414,21.68429946899414,21.416099548339844,0.2511439919471741,-999.0,1,21.397199630737305,0.1917220056056976,-999.0,1,115000,0.9996870160102844,21.387399673461918,0.0751240029931068,0.2991800010204315,10,20.774799346923828,21.69820022583008,20.93120002746582,0.1070189997553825,0.3135809898376465,10,20.90169906616211,0.0809149965643882,0.2716819941997528,10,16892216,0.9996680021286012,20.96629905700684,0.0615129992365837,0.1917320042848587,15,20.648700714111328,21.26070022583008,20.42930030822754,0.0404490008950233,0.1841039955615997,17,20.40379905700684,0.0522419996559619,0.1980070024728775,17,16892216,0.9993190169334412,20.768299102783203,0.042298000305891,0.1171400025486946,8,20.61359977722168,20.98390007019043,20.180700302124023,0.0342979989945888,0.0943569988012313,8,20.169300079345703,0.0238269995898008,0.0651459991931915,8,16892216,0.9975820183753968,20.369400024414062,0.0528299994766712,0.1111060008406639,3,20.24430084228516,20.46260070800781,19.94529914855957,0.1582469940185547,0.2843270003795624,3,19.78339958190918,0.1012580022215843,0.2064339965581894,3,16892216,0.0377150350283363,1081873.0,0.46674746,0.2383620261949179,1778.7246701081451,-20.4578925185754,1.74960314332421e-05
