,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,Unnamed: 0,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
44,PSO J219.3007+56.8748,-999,-999,-999,176252193008710494,3501130000034243,308043644437955,0,14658288695637,17625,1,2434,20,0.854577370783852,3501130,71722,3,444915712,7,53,219.30080926,56.87477404,0.0010000000474974,0.0010000000474974,219.30072267335416,56.87476467873303,0.0068561347088827,0.0068561347088827,4.619950778854465,-11.295718180686396,7.381196307451562,7.381196307451562,56538.58052291998,5.675517559051514,-0.4228767687990147,-0.3461295318108477,0.8374781105309607,177.89242049772008,64.96555726666094,97.9488361162508,54.82062756250953,-999,5,68,11,13,17,13,14,0.9997410178184508,21.53400039672852,0.084647998213768,0.2304479926824569,10,21.200899124145508,21.934499740600582,21.500900268554688,0.1626819968223571,0.4129059910774231,10,21.52630043029785,0.1163870021700859,0.5399720072746277,10,115000,0.9996240139007568,20.34589958190918,0.0475259982049465,0.1532119959592819,10,20.102399826049805,20.55970001220703,20.295499801635746,0.0643289983272552,0.1798409968614578,10,20.165000915527344,0.0724629983305931,0.206725001335144,10,16892216,0.9998289942741394,19.925500869750977,0.0254239998757839,0.1170009970664978,17,19.71199989318848,20.117700576782227,19.71380043029785,0.0258820001035928,0.1336680054664611,17,19.629499435424805,0.0164449997246265,0.1146109998226165,17,16892216,0.9998000264167786,19.72330093383789,0.0302719995379447,0.0853060036897659,11,19.595600128173828,19.816600799560547,19.510799407958984,0.0431259982287883,0.1734829992055893,11,19.44770050048828,0.0414809994399547,0.1383170038461685,11,16892216,0.9992370009422302,19.584800720214844,0.0625339969992637,0.1981970071792602,11,19.318700790405277,19.949499130249023,19.20359992980957,0.0915889963507652,0.3550390005111694,13,19.19809913635254,0.0739540010690689,0.3456889986991882,13,16892216,0.023853921962002,982840.0,0.4198673,0.2978802475006301,1620.092595568438,-20.79752337058567,2.8835645249024023e-05
152,PSO J219.3068+56.9151,-999,-999,-999,176292193069118767,3501087000033872,308060824306768,0,14658288826165,17629,1,2434,20,0.417272078261964,3501087,71726,3,436527104,7,52,219.30690103,56.91505962,0.0010000000474974,0.0010000000474974,219.30682585128983,56.91505700177643,0.0037763168444601,0.0038617336971057,1.7307609893433913,-13.535057474263867,4.411388770972064,4.444212757466294,56528.212347554494,1.52085542678833,-0.4223840887738376,-0.3458014099293403,0.8378622001508215,177.8285050461165,64.99560672018687,97.99269850215948,54.78909094722006,-999,5,70,11,11,20,13,15,0.9999070167541504,19.388500213623047,0.0112439999356865,0.041262000799179,9,19.339000701904297,19.477100372314453,19.4552001953125,0.0148989995941519,0.0515299998223781,9,19.339500427246094,0.0150269996374845,0.0498580001294612,10,115000,0.9997029900550842,19.0275993347168,0.0051549999043345,0.0180089995265007,10,19.00510025024414,19.066499710083008,19.139799118041992,0.0196780003607273,0.0588929988443851,10,19.009899139404297,0.0170329995453357,0.0642020031809806,10,115000,0.999459981918335,18.88159942626953,0.0078260004520416,0.041202999651432,18,18.77560043334961,18.93000030517578,19.004600524902344,0.0169120002537965,0.0972149968147277,19,18.906299591064453,0.0161899998784065,0.0940740033984184,19,115000,0.999330997467041,18.82699966430664,0.0100079998373985,0.0940200015902519,10,18.55430030822754,18.870100021362305,18.946199417114254,0.0167699996381998,0.0717179998755455,10,18.82740020751953,0.0396520011126995,0.1719460040330886,10,115000,0.9988930225372314,18.79210090637207,0.0194279998540878,0.0918850004673004,14,18.625099182128903,18.92009925842285,18.798999786376957,0.0597819983959198,0.2373750060796737,14,18.749000549316406,0.0310949999839067,0.1390739977359771,14,115000,0.0182776402142128,982948.0,0.09902142,0.492377400054415,414.4568655212565,-18.9905702082619,8.34198504577525e-05
159,PSO J219.3044+56.9154,-999,-999,-999,176292193044869173,3501087000033642,308060824306538,0,14658288814702,17629,1,2434,20,0.679962474554742,3501087,71726,3,436527104,7,52,219.30452515,56.91542068,0.0010000000474974,0.0010000000474974,219.304448090322,56.915413649571,0.0059182117262069,0.0059182117262069,9.590105736520677,-38.675826881723445,7.323536728919302,7.323536728919302,56601.75190842354,3.822479963302612,-0.4223944034293699,-0.3457805771252677,0.8378655980731418,177.8257779359332,64.99490721521917,97.9947643779892,54.789722816497786,-999,5,53,4,9,19,10,11,0.9996129870414734,21.62030029296875,0.0301900003105402,0.0523700006306171,4,21.5531005859375,21.671499252319336,21.53820037841797,0.2590659856796264,0.3580720126628876,3,21.632699966430664,0.1937219947576522,0.3488950133323669,4,115000,0.9996650218963624,20.23929977416992,0.0259700007736682,0.0908489972352981,9,20.072399139404297,20.360300064086918,20.15130043029785,0.0541360005736351,0.2452580034732818,9,20.062400817871094,0.0640129968523979,0.1869840025901794,9,115000,0.9995869994163512,19.69650077819824,0.029399000108242,0.1196649968624115,17,19.521499633789062,19.914899826049805,19.632200241088867,0.0271439999341964,0.1482259929180145,17,19.55769920349121,0.0249860007315874,0.0937319993972778,17,16892216,0.9997829794883728,19.49220085144043,0.0212290007621049,0.0844009965658187,8,19.35449981689453,19.59149932861328,19.458499908447266,0.0144140003249049,0.0777970030903816,8,19.38759994506836,0.0241659991443157,0.1417839974164962,8,115000,0.9997900128364564,19.32979965209961,0.0328719988465309,0.1212050020694732,11,19.060699462890625,19.428600311279297,19.09079933166504,0.0390359982848167,0.2431519925594329,11,19.054800033569336,0.0513520017266273,0.2010979950428009,11,16892216,0.0181370337148311,982955.0,0.3702461,0.3281106326327191,1447.4051718385683,-20.694622805704785,3.286010010018197e-05
309,PSO J219.2453+56.8632,-999,-999,-999,176232192454176496,3501130000029530,308043644433242,0,14658302465988,17623,1,2434,20,0.620440535825156,3501130,71722,3,503635968,7,60,219.24537772,56.86317013,0.0010000000474974,0.0010000000474974,219.2452757657702,56.863153746413744,0.0034584984003299,0.0034685087843454,-36.59597943141696,0.5100029380133977,4.732233207823048,4.65672476639552,56619.895632015614,3.2193403244018555,-0.423342956558838,-0.3458274998785718,0.8373673515606864,177.86324626332427,64.9355422971195,97.97318895064588,54.84989810595214,-999,5,61,13,12,14,14,8,0.9998090267181396,20.76140022277832,0.0177120007574558,0.0774200037121772,12,20.64299964904785,20.890499114990234,20.73819923400879,0.0687849968671798,0.2060240060091018,12,20.52140045166016,0.0440629981458187,0.1742890030145645,12,115000,0.9995689988136292,19.52779960632324,0.0208459999412298,0.0502789989113807,9,19.44820022583008,19.6067008972168,19.545700073242188,0.0518589988350868,0.1675550043582916,10,19.50589942932129,0.0573480017483234,0.1368079930543899,10,115000,0.9996659755706788,18.46660041809082,0.0068839997984468,0.0294070001691579,11,18.411699295043945,18.53030014038086,18.5442008972168,0.0116929998621344,0.0658060014247894,13,18.43989944458008,0.0140129998326301,0.0453400015830993,13,115000,0.99992698431015,17.97879981994629,0.0106030004099011,0.0333219990134239,12,17.951499938964844,18.04850006103516,18.070600509643555,0.0109930001199245,0.0728339999914169,12,17.945600509643555,0.0216790009289979,0.069981999695301,12,115000,0.9993590116500854,17.726499557495117,0.0205479990690946,0.0462459996342659,6,17.65049934387207,17.75550079345703,17.866300582885742,0.0213569998741149,0.0726270005106926,7,17.758800506591797,0.0404389984905719,0.0856520012021064,7,115000,0.0439183646795782,983105.0,0.46553472,0.5364730040902201,1774.6755031729026,-21.74274584575695,5.739319859887143e-05
433,PSO J219.2604+56.9101,-999,-999,-999,176292192604562858,3501087000029753,308060824302649,0,14658288404507,17629,1,2434,20,0.0983690070904503,3501087,71726,3,444915712,7,53,219.26047405,56.91008728,0.0010000000474974,0.0010000000474974,219.2604067072716,56.91008510193642,0.00336435601537,0.00336435601537,8.020389083725144,-10.234233265742446,4.513451588736063,4.513451588736063,56440.56717805581,9.471158027648926,-0.4227204002930823,-0.3455051054918105,0.8378148275455317,177.79599989318086,64.97374832512881,98.01870524221854,54.81011427425397,-999,5,53,9,8,13,13,10,0.9994869828224182,19.50589942932129,0.0134509997442364,0.0386449992656707,6,19.48310089111328,19.572599411010746,19.17770004272461,0.0183019991964101,0.0457139983773231,9,19.126399993896484,0.0127069996669888,0.0441140010952949,9,16892216,0.9992250204086304,19.11549949645996,0.0125350002199411,0.0339200012385845,7,19.05159950256348,19.14590072631836,18.910400390625,0.0181370005011558,0.0511099994182586,8,18.836200714111328,0.0181440003216266,0.0594380013644695,8,16892216,0.999705970287323,18.95249938964844,0.0157040003687143,0.0672739967703819,11,18.913000106811523,19.112699508666992,18.60759925842285,0.0182240009307861,0.0678910017013549,13,18.54599952697754,0.0134600000455975,0.0583349987864494,13,16892216,0.99965900182724,19.117599487304688,0.0416090004146099,0.1846749931573867,9,18.75760078430176,19.191499710083008,18.74090003967285,0.0305339992046356,0.0968099981546402,8,18.70789909362793,0.0388719998300075,0.1224130019545555,9,16892216,0.9994029998779296,19.217100143432617,0.0524910017848014,0.1862789988517761,9,18.866600036621094,19.35700035095215,18.79150009155273,0.0889419987797737,0.1938550025224685,9,18.722400665283203,0.0634640008211135,0.1390150040388107,9,16892216,0.0215791483681026,983229.0,0.099840686,0.578536424351157,417.8044956320835,-19.233605735139484,0.0001026824155297
442,PSO J219.2548+56.9085,-999,-999,-999,176292192549520893,3501087000029269,308060824302165,0,14658288377622,17629,1,2434,20,0.593063182749844,3501087,71726,3,512024576,7,61,219.25492802,56.90850952,0.0010000000474974,0.0010000000474974,219.25484667990068,56.908507208241815,0.0042115959581725,0.0042115959581725,1.479573736336942,9.349647461440432,5.693268317961962,5.693268317961962,56396.70170468117,4.409632205963135,-0.4227717925175689,-0.3454786825056038,0.8377997919465449,177.79379718816213,64.9704511301373,98.02065452794594,54.813351259301776,-999,5,60,11,11,16,12,10,0.9996309876441956,20.11100006103516,0.0391310006380081,0.1258949935436248,10,19.965900421142575,20.344600677490234,19.918100357055664,0.0490039996802806,0.1671430021524429,11,19.87800025939941,0.0572099983692169,0.2438639998435974,11,16892216,0.9990990161895752,19.496400833129883,0.0263260006904602,0.1091130003333091,8,19.384300231933597,19.718299865722656,19.26189994812012,0.0245689991861581,0.0760150030255317,9,19.1875,0.0386160016059875,0.1187369972467422,9,16892216,0.9997100234031676,19.068500518798828,0.012628000229597,0.0351449996232986,9,18.99810028076172,19.107200622558597,18.92480087280273,0.0275870002806186,0.0788279995322227,12,18.828100204467773,0.0174550004303455,0.0472589991986751,12,16892216,0.9999020099639891,18.94499969482422,0.0269659999758005,0.1087940037250518,11,18.81130027770996,19.106300354003903,18.641700744628903,0.0357430018484592,0.1597730070352554,11,18.60919952392578,0.0379110015928745,0.139502003788948,11,16892216,0.9992579817771912,18.897499084472656,0.0562499985098838,0.182447001338005,10,18.648799896240234,19.29170036315918,18.86479949951172,0.1120920032262802,0.2720960080623626,10,18.890499114990234,0.0608640015125274,0.2044350057840347,10,115000,0.0234496376795109,983238.0,0.23813437,0.2919286867691707,963.1828229829762,-20.6957842787086,7.428416630083893e-05
443,PSO J219.2545+56.9096,-999,-999,-999,176292192545982207,3501087000029235,308060824302131,0,14658288377045,17629,1,2434,20,0.605627823253747,3501087,71726,3,444915712,7,53,219.25455569,56.90953745,0.0010000000474974,0.0010000000474974,219.2544900711291,56.9095433415722,0.0130849281144981,0.0130849281144981,-15.621537436022834,-49.18433713397039,18.581529959391,18.581529959391,56241.73460593618,5.659852504730225,-0.4227622108440619,-0.3454664642515421,0.8378096652341622,177.7916620461191,64.97103553077277,98.02216002718536,54.8127149256478,-999,5,32,6,8,11,5,2,0.9998090267181396,20.90069961547852,0.0469739995896816,0.117246001958847,6,20.784500122070312,21.047700881958008,20.645299911499023,0.0633300021290779,0.1816679984331131,6,20.558300018310547,0.0748170018196106,0.1821649968624115,6,16892216,0.999692976474762,20.46619987487793,0.0582210011780262,0.1728119999170303,5,20.38330078125,20.75670051574707,19.999799728393555,0.0736709982156753,0.2268660068511963,5,20.00659942626953,0.072743996977806,0.1940259933471679,5,16892216,0.9997029900550842,20.16580009460449,0.0473789982497692,0.1824579983949661,11,19.99760055541992,20.53820037841797,19.87240028381348,0.0579040013253688,0.2184830009937286,11,19.76679992675781,0.0348920002579689,0.1474660038948059,11,16892216,0.9988489747047424,20.085399627685547,0.0759709998965263,0.1529330015182495,5,19.843599319458008,20.20840072631836,19.581300735473636,0.0630410015583038,0.1427260041236877,5,19.628999710083008,0.0324329994618892,0.096499003469944,5,16892216,0.9986129999160768,19.90679931640625,0.2606500089168548,0.368804007768631,2,19.637800216674805,20.159099578857425,19.351900100708008,0.1657119989395141,0.2343530058860778,2,19.349000930786133,0.2393569946289062,0.3386659920215606,2,16892216,0.0240910209290104,983239.0,0.3131046,0.2347813335848299,1242.3631079459838,-20.51058358623529,3.764751729503171e-05
542,PSO J219.2890+56.8569,-999,-999,-999,176222192890829004,3501130000033273,308043644436985,0,14658288523494,17622,1,2434,20,0.952978919216412,3501130,71722,3,436527104,7,52,219.2891192,56.85691326,0.0010000000474974,0.0010000000474974,219.28904625831456,56.85689600240481,0.0046052905422105,0.0046610415810298,-13.973271840849849,0.8880446049603766,5.984058448764968,6.058409702346605,56368.10640208578,4.2272539138793945,-0.4231494225791147,-0.3462087179673894,0.8373076434467432,177.9127881780392,64.9486461126527,97.93552818257764,54.83799298315977,-999,5,67,9,14,18,10,16,0.9997119903564452,21.137500762939453,0.0596950016915798,0.1692460030317306,9,20.832399368286133,21.366500854492188,21.249799728393555,0.1783279925584793,0.4611560106277466,9,21.204599380493164,0.1355880051851272,0.4905819892883301,9,115000,0.9997190237045288,20.052099227905277,0.0186049994081258,0.0811859965324401,13,19.991600036621094,20.25379943847656,20.118900299072266,0.0407099984586238,0.1571090072393417,13,20.01679992675781,0.0267239995300769,0.0861100032925605,13,115000,0.9998109936714172,19.085599899291992,0.0130310002714395,0.0563400015234947,16,18.98789978027344,19.18199920654297,19.166400909423828,0.0254510007798671,0.1414330005645752,17,19.055599212646484,0.0240739993751049,0.1105580031871795,17,115000,0.9996579885482788,18.6658992767334,0.0095419995486736,0.0316100008785724,10,18.613000869750977,18.72769927978516,18.76469993591309,0.0185090005397796,0.0905919969081878,10,18.66830062866211,0.012976000085473,0.079643003642559,10,115000,0.9997000098228456,18.46419906616211,0.0114010004326701,0.0745299980044364,16,18.26650047302246,18.54640007019043,18.57150077819824,0.0303140003234148,0.143107995390892,16,18.456100463867188,0.0340639986097812,0.1712249964475631,16,115000,0.0414654761972342,983338.0,0.5071492,0.7184791072059702,1911.973411780143,-21.33375703520293,3.392650457331941e-05
594,PSO J219.2324+56.8813,-999,-999,-999,176252192325188318,3501087000027406,308060824300302,0,14658301997750,17625,1,2434,20,0.226035202132571,3501087,71726,3,503635968,7,60,219.23251024,56.88133604,0.0010000000474974,0.0010000000474974,219.23242446489544,56.88131817650861,0.0016584474290618,0.0017088283886739,-8.653905748291422,1.8356263624263065,1.862755307199614,1.9497751443897875,56511.33818712396,3.0324928760528564,-0.4232148634870371,-0.3455646179306547,0.8375406104530628,177.82069486623791,64.94290167887348,98.00370775772434,54.84151707511509,-999,5,71,13,17,20,10,11,0.9999160170555116,19.60449981689453,0.0066789998672902,0.0258399993181228,13,19.575300216674805,19.65730094909668,19.70709991455078,0.0193119999021291,0.0895109996199607,13,19.610700607299805,0.0113300001248717,0.0329830013215541,13,115000,0.999675989151001,18.486900329589844,0.0063840001821517,0.0265909992158412,16,18.452800750732425,18.54450035095215,18.57069969177246,0.0140140000730752,0.0525089986622333,16,18.478099822998047,0.0137630002573132,0.045609001070261,16,115000,0.99965500831604,17.831199645996094,0.0038469999562948,0.0169590003788471,18,17.79599952697754,17.864500045776367,17.928199768066406,0.0076560000889003,0.0295340009033679,20,17.84149932861328,0.0055160000920295,0.0245040003210306,20,115000,0.9990360140800476,17.514299392700195,0.0061610001139342,0.0208960007876157,10,17.482200622558594,17.537799835205078,17.612899780273438,0.0112250000238418,0.0344449989497661,9,17.523000717163086,0.0066160000860691,0.0224920008331537,10,115000,0.9993020296096802,17.35140037536621,0.0077410000376403,0.0296090003103017,10,17.302400588989258,17.414499282836914,17.493799209594727,0.0170649997889995,0.0604880005121231,11,17.390399932861328,0.0160109996795654,0.0573749989271163,11,115000,0.0374313235021102,983390.0,0.24535342,0.5683408908593917,990.5697429735736,-21.45157674599712,0.0001408836457993
604,PSO J219.2479+56.8821,-999,-999,-999,176252192480089146,3501087000028631,308060824301527,0,14658288291030,17625,1,2434,20,0.549069992777957,3501087,71726,3,444915712,7,53,219.24794933,56.88219031,0.0010000000474974,0.0010000000474974,219.24789758656965,56.88215460983923,0.0094716087366893,0.0094716087366893,-50.63142573709536,256.319510245174,20.986908498454977,20.986908498454977,56719.03370659516,30.57473373413086,-0.423112057228145,-0.3456711617478095,0.8375485866289111,177.8329500326227,64.94961393130376,97.99403813413052,54.8351156884182,-999,5,23,2,6,10,3,2,0.9999160170555116,20.81570053100586,0.1792120039463043,0.2536909878253937,2,20.644399642944336,21.002899169921875,19.874000549316406,0.033050999045372,0.0486110001802444,2,19.92009925842285,0.0627570003271102,0.0887920036911964,2,16892216,0.9995790123939514,20.02140045166016,0.0888890027999877,0.3398759961128235,4,19.93239974975586,20.556900024414062,19.234699249267575,0.0723050013184547,0.3622300028800964,4,19.226999282836918,0.0978469997644424,0.3550359904766083,4,16892216,0.9993230104446412,20.237199783325195,0.0372940003871917,0.0667729973793029,7,20.134300231933597,20.328500747680664,19.252099990844727,0.0437600016593933,0.1405790001153946,10,19.305200576782227,0.0280809998512268,0.0583419986069202,10,16892216,0.9991880059242249,19.84269905090332,0.0681530013680458,-999.0,1,19.84269905090332,19.84269905090332,18.924999237060547,0.0701450034976005,-999.0,1,18.94300079345703,0.0681530013680458,-999.0,1,16892216,0.9993299841880798,19.166000366210938,0.1801239997148513,0.2614049911499023,2,19.027299880981445,19.38759994506836,18.538799285888672,0.1620800048112869,0.2298880070447921,2,18.513900756835938,0.0001409999968018,0.0002019999956246,2,16892216,0.0296793389453216,983400.0,0.23128754,0.2503140228751046,937.1074624531004,-20.667098878559468,7.642945430843587e-05
