distance,objid,ra,dec,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sdss_photo_redshift,sdss_photo_redshift_error,photoErrorClass,specObjID,spec_redshift,spec_redshift_error
1.77509939956343,1237661064951694082,146.343222094977,9.60979845738644,20.85323,22.11046,20.3345,19.64958,19.61572,0.4321079,0.1028655,0.03633128,0.03060759,0.09089574,0.1049686,0.0817908,0.05658249,0.04204686,0.03127514,0.37871,0.044365,1,5988859616465016832,0.3621991,0.0001915852
1.98479468782691,1237661064951759989,146.396664218651,9.62574324567482,22.05081,22.5684,20.84501,19.84273,19.3562,0.485107,0.2153189,0.09373457,0.04537738,0.09442142,0.1058451,0.08247375,0.05705496,0.04239795,0.03153628,0.579588,0.045522,2,5988869786947573760,0.5971802,0.0001467454
3.56318210239451,1237660669814178003,146.430688793936,9.58794504476762,20.79316,19.53033,18.18136,17.65206,17.31881,0.2348565,0.02160001,0.01081475,0.0101389,0.02824653,0.105537,0.0822337,0.0568889,0.04227455,0.0314445,0.244987,0.015355,1,5988872260848736256,0.2365833,4.298793e-05
3.85150425293395,1237660669814112880,146.315462019176,9.57177507594262,22.18007,22.06874,20.21901,19.35231,18.3552,0.4739758,0.1964291,0.06828117,0.05146932,0.1268438,0.1053701,0.08210368,0.05679894,0.0422077,0.03139478,0.467671,0.027613,1,5988859891342923776,0.5280157,8.000871e-05
3.92756178440296,1237660669814178006,146.438576451047,9.59766159273418,19.59725,18.60333,17.62628,17.23862,16.79084,0.07997479,0.01331273,0.009374868,0.009388189,0.0248217,0.1066041,0.08306519,0.05746412,0.042702,0.03176244,0.187047,0.022341,1,1469347253440243712,0.1830494,5.335766e-05
4.1174638557708,1237660669814112435,146.303089060645,9.59665971894952,18.66779,17.85548,17.30739,16.98287,16.82105,0.02722555,0.006544549,0.00642773,0.007126703,0.02106766,0.1074813,0.08374867,0.05793694,0.04305336,0.03202379,0.139914,0.023305,1,1469348902707685376,0.1824314,9.568215e-06
4.7620015741466,1237660669814178011,146.450513484477,9.62206710192123,18.97691,19.09789,17.83417,17.30561,16.96808,0.1482927,0.01706083,0.009267299,0.008546964,0.02282505,0.1087983,0.08477491,0.05864689,0.04358092,0.0324162,0.241862,0.013842,1,1469341206126290944,0.2381649,5.699834e-05
5.47199071717445,1237660669814177865,146.45971977607,9.57282715175769,23.38042,24.28666,21.12903,19.41193,19.07236,1.42006,1.427743,0.1483902,0.05290949,0.2479034,0.1079725,0.08413145,0.05820175,0.04325014,0.03217015,0.447688,0.038704,-7,5988871436215015424,0.5747076,0.0002165539
5.49468648084386,1237661064951759643,146.413051024029,9.68524032101828,22.03203,21.61658,20.60741,19.60947,19.43355,0.5999313,0.127397,0.08214314,0.04495572,0.1154056,0.110169,0.08584296,0.05938576,0.04412999,0.0328246,0.546809,0.050802,1,5988868687435945984,0.5275781,0.0002412028
5.50351895955636,1237660669814112991,146.361247266717,9.51183340069623,20.04489,20.82163,19.24834,18.52175,17.92094,0.4153647,0.05948928,0.02483042,0.02114221,0.05078395,0.1000325,0.07794463,0.05392174,0.04006963,0.02980444,0.395712,0.030882,1,5988860166220830720,0.4024568,7.574326e-05
5.80395816371404,1237661064951759750,146.450238376776,9.66178692878283,21.1515,20.87812,20.30748,19.57942,19.13757,0.2867183,0.09621949,0.06617385,0.03479849,0.1133972,0.110165,0.08583982,0.05938359,0.04412837,0.0328234,0.604651,0.044485,1,5988881331819665408,0.6143057,0.0001405556
6.37926876920599,1237661064951759713,146.436194078743,9.68862190371278,23.70251,22.0508,20.08051,19.2721,18.60132,0.5927066,0.1267252,0.04058324,0.0268412,0.05804236,0.1111085,0.08657496,0.05989215,0.04450629,0.0331045,0.462803,0.028031,1,5988870336703387648,0.4621364,0.0001155099
6.41865956382645,1237660669814112498,146.265060368516,9.58732323818029,19.85499,18.78554,17.73379,17.15103,16.89335,0.2541154,0.01560449,0.01006251,0.009856358,0.02585409,0.110004,0.08571436,0.05929679,0.04406387,0.03277542,0.187249,0.014658,1,1469345604172802048,0.1988851,5.098169e-05
6.5943667965274,1237660669814177970,146.483595886504,9.61059033018416,19.32751,18.35675,17.74424,17.33402,17.06549,0.06185715,0.01106875,0.01040047,0.01089156,0.03457379,0.110464,0.08607278,0.05954475,0.04424813,0.03291248,0.120001,0.022406,1,1469340931248384000,0.09649106,9.425677e-06
6.80995187527612,1237660669814177807,146.388944507879,9.49057658114253,20.94494,18.5342,17.29823,16.87267,16.51707,0.1240325,0.009753931,0.006124577,0.00602489,0.01636729,0.1007316,0.07848937,0.05429858,0.04034967,0.03001274,0.182978,0.010742,1,1469346703684429824,0.1896617,3.388651e-05
7.61245454560469,1237661064951759453,146.339340603066,9.72551408839941,20.50712,21.66035,19.83207,18.83885,18.33607,0.4648949,0.1014685,0.03600365,0.0182038,0.04286582,0.1118088,0.08712069,0.06026969,0.04478684,0.03331318,0.546054,0.023693,1,5988869237191759872,0.5277572,0.0001039137
