objID,ra,dec
108330014057669764,1.40583455,0.2827497
108330014068808828,1.40690914,0.28200586
108330014085149894,1.40850032,0.28290866
108330014096927440,1.409704759159934,0.2808528866418236
108330014123598846,1.41235427,0.28202063
108330014129657598,1.41295987,0.28098834
108330014148079557,1.41479736,0.28261194
108330014170566411,1.41712315,0.27997371
108330014199379282,1.42001062,0.28235128
108330014201239947,1.42012915,0.28294002
108330014203487732,1.42034886,0.28108521
108330014210598181,1.42112224,0.28143777
108330014259698724,1.42603973,0.28188454
108390014171034881,1.41710315,0.32870691
108390014174282515,1.4174282,0.32673693
108390014175759571,1.4175753,0.33261575
108390014176675166,1.41767713,0.32894937
108390014177202262,1.41778169,0.32649855
108390014178888364,1.41788533,0.33161407
108390014181945341,1.41819167,0.32908786
108390014182037127,1.41827191,0.33055324
108390014183121187,1.41838069,0.32560394
108390014183138591,1.41831409,0.33179753
108390014184792328,1.41849599,0.32660984
108390014185205279,1.41851698,0.3290442
108390014188633111,1.41897704,0.32711632
108390014190644321,1.41906587,0.32823923
108390014194160316,1.41938004,0.32490258
108390014195011543,1.41957392,0.3258964
108390014195581118,1.41968604,0.32546944
108390014198933391,1.41989381,0.32746629
108390014199294412,1.41999831,0.32829115
108390014207592105,1.42067472,0.32636275
108390014208202504,1.42081876,0.32672618
108390014211624179,1.42118123,0.32813336
108390014211837524,1.42125659,0.33087811
108390014212952596,1.42133311,0.3267584
108390014213456102,1.42139864,0.32973817
108390014222280471,1.42228977,0.3250068
108390014225134118,1.42251309,0.3280735
108390014225367778,1.42253471,0.33112841
108390014229605738,1.42302272,0.32940427
108390014245972088,1.42459771,0.32638231
108390014252787060,1.42534736,0.3304956
108390014254839359,1.42553936,0.3324202
108390014263700059,1.426442,0.32467382
108390014269297759,1.42694562,0.33110793
108390014273056238,1.42737336,0.32981058
108390014278192840,1.42781966,0.32700753
108390014295640811,1.42956187,0.32532405
108390014300816133,1.43015275,0.3297194
108390014303769978,1.43037384,0.33296323
108390014305902644,1.43058734,0.3268569
108390014306660584,1.43073401,0.32509959
108390014312849558,1.43128188,0.33261853
108390014315111024,1.43150864,0.32550576
108390014315289759,1.43159948,0.3327408
108390014335890508,1.4336649298949788,0.3250961229281426
108390014351296738,1.43518462,0.33024
108390014364001768,1.43646929,0.32609952
108390014375784956,1.43764591,0.32874276
108390014379405827,1.43800735,0.32948265
108390014390402724,1.43910919,0.32689534
108390014396110212,1.439681,0.32478883
108390014398985046,1.43996696,0.32883128
108390014400610792,1.44006582,0.32530207
108390014420909440,1.44208696,0.33250376
108390014423727052,1.4423763,0.3305232
108390014425447642,1.44254129,0.33100638
108390014430008129,1.44299623,0.3314115
108390014447795735,1.44477561,0.329417
108390014452433985,1.44524058,0.32795883
108390014456242709,1.44570014,0.32686745
108390014458757299,1.44588141,0.3307249
108390014462988233,1.44629912,0.33150123
108390014464553524,1.44645181,0.32757463
108390014467281867,1.44672462,0.32619352
108390014467523039,1.4468080869824607,0.3270954247638065
108390014472702357,1.44726672,0.3266024
108390014481621371,1.44816389,0.32579153
108390014482219719,1.44820965,0.33285054
108390014483776364,1.4484787442088578,0.32992313587091987
108390014486435858,1.44864691,0.32953052
108390014488358457,1.4489531468613768,0.33177977841298184
108390014492893311,1.4492895,0.32739858
108390014510158612,1.45101564,0.33181754
108390014514170713,1.45148089,0.32520535
108390014515081635,1.4515038,0.32601936
108390014519337612,1.4520077,0.33095845
108390014519341598,1.4519891286287563,0.3259483592744939
108390014521975440,1.4521981,0.32917159
108390014522181651,1.45219935,0.32601468
108390014523734277,1.45238196,0.32821414
108390014527779885,1.4527788,0.33288047
108390014530753288,1.45307811,0.32738956
108390014539076965,1.45390082,0.33044753
108390014539570781,1.45402795,0.32526395
108390014542253355,1.45422354,0.32743849
108390014543302461,1.45439674,0.32667155
108390014545243127,1.45451933,0.32724759
108390014551701437,1.45523415,0.32581909
108400013827843385,1.38278415,0.33579296
108400013831362477,1.38313417,0.33504189
108400013831914008,1.38318802,0.33631128
108400013832562156,1.38332684,0.33473917
108400013837064876,1.38342248,0.33700157
108400013839352926,1.38392326,0.33542198
108400013843283050,1.38430841,0.33554095
108400013845417029,1.3846149,0.33882262
108400013845694113,1.38458595,0.33646909
108400013845813280,1.3846407051340937,0.3357054275433978
108400013846715215,1.38474069,0.33730765
108400013848212988,1.38482228,0.33546427
108400013848327024,1.38482399,0.33883212
108400013852803763,1.38532255,0.33608494
108400013853046960,1.38529771,0.33877561
108400013853121653,1.38530219,0.33435451
108350014264372972,1.42643871,0.29378999
108350014265836475,1.42664555,0.29668792
108350014265995732,1.42667314,0.29607482
108350014266012526,1.42665676,0.293403
