objID,ra,dec
109290047073439995,4.70734391,1.0829649
109290047081639797,4.70816558,1.08280049
109290047145909536,4.71460437,1.0825461
109290047147118605,4.7147304,1.08178183
109290047161468444,4.71614494,1.08166291
109290047172139932,4.7172267,1.0828761
109290047186459066,4.71866036,1.08216898
109290047206238593,4.72060274,1.08179341
109290047213609480,4.72136897,1.08254258
109290047253219334,4.72533146,1.08237665
109290047279399908,4.7279284,1.08289117
109300046917627586,4.6917594,1.08929765
109300046934399470,4.69344901,1.09083187
109310047033605582,4.70337213,1.09593331
109310047033969086,4.70339605,1.09887438
109310047036476439,4.70366606,1.09664124
109310047038369956,4.70384226,1.09960072
109310047043188866,4.70427888,1.09869819
109310047043663887,4.70436653,1.09454229
109310047046711436,4.70469027,1.09247178
109310047046825139,4.704752185735267,1.0955462401004836
109310047049775271,4.7048359667812045,1.0956039918316358
109310047051287199,4.70515862,1.09727754
109310047052831799,4.70527527,1.09280567
109310047054395886,4.70545162,1.09618378
109310047059377328,4.70594331,1.0974104
109310047059602251,4.70592577,1.09316791
109310047059873375,4.70588386,1.09400771
109310047065352603,4.70655427,1.09345138
109310047066101069,4.7066277,1.09217123
109310047067211437,4.70673055,1.09246589
109310047071197755,4.70712461,1.09776622
109310047073690610,4.70734725,1.09179378
109310047079493765,4.7079672,1.09441885
109310047082328490,4.70823522,1.09838234
109310047084640931,4.70848203,1.09205517
109310047088404050,4.70885795,1.09465586
109310047093978499,4.70940259,1.09838638
109310047098101450,4.70982698,1.09248716
109310047098828458,4.70989233,1.09831786
109310047101434571,4.71015374,1.09507754
109310047101931432,4.71019702,1.09248068
109310047104084358,4.71042639,1.09491149
109310047110868724,4.71108759,1.09857149
109310047113869111,4.71139143,1.09889605
109310047120317533,4.71202242,1.09756139
109310047130629577,4.71306654,1.09929204
109310047131062132,4.71312202,1.09305713
109310047143059304,4.71432176,1.09903176
109310047143258630,4.71433847,1.09847365
109310047166096788,4.71659002,1.09696444
109310047169716947,4.71696346,1.09708553
109310047172193622,4.71720017,1.09432639
109310047184678708,4.71847388,1.09856298
109310047186291235,4.718635855916917,1.0923160968324297
109310047187199853,4.71874442,1.09949002
109310047189751213,4.71896073,1.09229623
109310047191445595,4.7190908,1.0959764
109310047193427720,4.71934182,1.0977275
109310047206904835,4.72069023,1.09533228
109310047222310028,4.7222221,1.09132725
109310047222559544,4.72225567,1.09926162
109310047225286488,4.72253854,1.09668434
109310047227634675,4.72277234,1.09516503
109310047252880726,4.72527813,1.09190831
109310047257962132,4.72578031,1.09309319
109310047261261162,4.72611656,1.09227293
109310047272023097,4.72722361,1.09385322
109310047274932594,4.72752202,1.09343698
109310047275371109,4.72756084,1.09219496
109310047278172443,4.727813643997603,1.0933124437036494
109310047287820720,4.7287953,1.09186851
109310047290891926,4.72907851,1.09290927
109310047292665535,4.7292689,1.09591546
109310047294044222,4.72940054,1.09482412
109310047297021868,4.72969213,1.0928592
109310047300880546,4.73007495,1.09175644
109310047303961056,4.73038409,1.09217959
109310047304798241,4.73046053,1.09816175
109310047306103333,4.73059797,1.09407745
109310047306217576,4.73061276,1.0976469
109310047306426095,4.73063006,1.09638041
109310047307283979,4.73075722,1.09458942
109310047310057346,4.73099321,1.09742211
109310047310128397,4.73100314,1.09832411
109310047310178823,4.73105735,1.09866477
109310047311442348,4.73115398,1.09322894
109310047313925496,4.73137608,1.09586899
109310047318130122,4.73180774,1.09140724
109310047321583263,4.73216391,1.09399345
109310047322163450,4.73221616,1.09417794
109310047324637710,4.73246073,1.09769974
109310047327092757,4.7326987,1.09360085
109310047331606455,4.73315822,1.09663016
109310047332220256,4.73321472,1.09151789
109310047349985717,4.73499158,1.09606444
109310047351503387,4.73513899,1.09412568
109310047352035272,4.73521174,1.09565617
109310047354726440,4.73548044,1.0966298
109310047357406169,4.73575044,1.09640092
109310047358863371,4.73588344,1.09408269
109310047364359734,4.73644962,1.09938566
109310047368381828,4.736878186501073,1.0927984318446031
109310047368485640,4.73683638,1.09600102
109310047376326712,4.73761079,1.09689307
109310047378889603,4.7378672,1.09930239
109310047389649420,4.73888244,1.09917153
109310047396122869,4.73961317,1.0936938
109310047396213334,4.73963155,1.09405094
109310047401342579,4.7401457,1.09341891
109310047404731612,4.74044979,1.09266292
109310047405077751,4.74050782,1.09775496
109310047408303430,4.74081542,1.09417366
109310047409871858,4.74087196,1.09305295
109310047417892944,4.74180057,1.09372252
109310047423369530,4.74234519,1.09921335
109310047424470598,4.74245198,1.09182446
109380046929150039,4.69291648,1.14966749
109380046934710744,4.69346706,1.15025959
109380046944180676,4.69441028,1.15019715
109380046944661693,4.69456555,1.15092478
109380046950572337,4.69489038,1.15164623
109380046957439478,4.69575031,1.15753632
109380046959955371,4.69600203,1.15408075
109380046960288208,4.69603495,1.15647822
109380046963744978,4.69638213,1.15376639
109380046963817042,4.69638963,1.15550465
109380046966375357,4.69664348,1.15410244
109380046969404275,4.69694803,1.15319929
109380046969411742,4.69694188,1.15108581
109380046975011125,4.69750736,1.15057569
109380046981766954,4.69818682,1.15541373
109380046984489561,4.69844614,1.15760336
109380046985270214,4.69852128,1.14981285
109380046987214008,4.69873157,1.15295237
109380046991150889,4.69912398,1.15036088
109380047001860943,4.70017989,1.1504203
109380047002204352,4.70023297,1.15324369
109380047007896284,4.70077796,1.15487757
109380047011363991,4.70114675,1.15294273
109380047025561507,4.70257151,1.15087152
109380047032062398,4.70321593,1.1516153
