objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
PSO J160.9583+22.4889,-999,-999,-999,134981609582547238,3618955000097656,140866337473888,0,15609436852481,13498,1,1802,69,0.36758158017656,3618955,32798,3,1343750144,0,160,160.95825549,22.48891512,0.0010000000474974513,0.0010000000474974513,160.95825549,22.48891512,0.0010000000474974513,0.0010000000474974513,,,,,56137.89930556,-999.0,-0.8733958508531974,0.3014462707100086,0.3825046843993517,153.85499794289828,13.35788145843631,214.95516192801952,60.75311292218028,-999,1,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.015459142232584492
PSO J160.9590+22.4894,-999,-999,-999,134981609591157760,3618955000042572,140866337416780,0,15609436883244,13498,1,1802,69,0.308034058947148,3618955,32798,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,160.95902915,22.48937109,0.1100199967622757,0.1100199967622757,,,,,56741.51016204,1.993499994277954,-0.8733970436618473,0.30143348418321275,0.3825120373738766,153.85549444283043,13.358578257826084,214.95465970038032,60.75392451045312,-999,0,2,2,0,0,0,0,0.9986910223960876,21.506500244140625,0.043455999344587326,0.06163100153207779,2,21.466299057006836,21.553300857543945,20.714799880981445,0.3058359920978546,0.5052199959754944,2,20.8341007232666,0.20187200605869293,0.2869409918785095,2,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.015693719248873687
PSO J160.9591+22.4907,-999,-999,-999,134981609591549345,3618955000042579,140866337416787,0,15609436854255,13498,1,1802,69,0.0884165392149394,3618955,32798,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,160.95914074,22.49066499,0.20318999886512756,0.20318999886512756,,,,,56615.65349537,-999.0,-0.8733894649435707,0.3014289649202092,0.3825329026799061,153.85507821776898,13.35981147030221,214.9521673597166,60.75437409735488,-999,0,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9977390170097351,20.580799102783203,0.20263700187206268,-999.0,1,20.580799102783203,20.580799102783203,-999.0,-999.0,-999.0,1,20.649499893188477,0.20263700187206268,-999.0,1,280,0.01498005772125359
PSO J160.9592+22.4849,-999,-999,-999,134981609592562386,3618955000042593,140866337416801,0,15609436875130,13498,1,1802,69,0.503380786165018,3618955,32798,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,160.95921304,22.4848628,0.01590999960899353,0.01590999960899353,,,,,56053.3590162,-999.0,-0.8734264594180449,0.3014404992242303,0.3824393356022692,153.85744624648567,13.354485910334581,214.9636365286145,60.75286703034735,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9992660284042358,15.770400047302246,0.005305000115185976,-999.0,1,15.770400047302246,15.770400047302246,16.355199813842773,0.013233000412583351,-999.0,1,16.376300811767578,0.005305000115185976,-999.0,1,272,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.019013910582590297
PSO J160.9598+22.4875,-999,-999,-999,134981609597905568,3618955000042652,140866337416860,0,15609436884839,13498,1,1802,69,0.594340299809669,3618955,32798,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,160.95979069,22.48752168,0.47409000992774963,0.47409000992774963,,,,,55561.65415509,-999.0,-0.8734127209356263,0.30142590327556257,0.3824822136287345,153.85689606197718,13.357144474270848,214.958693700854,60.754101019993556,-999,0,1,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7886719703674316,21.162900924682617,0.47385498881340027,-999.0,1,21.162900924682617,21.162900924682617,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4120,0.017446865223311174
PSO J160.9628+22.4883,-999,-999,-999,134981609628776521,3618955000043013,140866337417221,0,15609436896025,13498,1,1802,69,0.624184479586952,3618955,32798,3,436363264,7,52,160.96280548,22.48838927,0.0010000000474974513,0.0010000000474974513,160.9627914234359,22.48832742977887,0.04182281014680429,0.04182281014680429,-107.67483268460343,-4.193892964990886,25.050260366436152,25.050260366436152,56004.257233170196,2.006840944290161,-0.8734234214763698,0.3013784053866715,0.3824952072681421,153.85920542264276,13.358955426160726,214.95865041842418,60.75698677406073,-999,4,5,1,1,3,0,0,0.997838020324707,22.478500366210938,0.1896670013666153,-999.0,1,22.478500366210938,22.478500366210938,22.275100708007812,0.28263598680496216,-999.0,1,22.11210060119629,0.1896670013666153,-999.0,1,115000,0.9986730217933655,22.081600189208984,0.1890060007572174,-999.0,1,22.081600189208984,22.081600189208984,-999.0,-999.0,-999.0,1,22.286100387573242,0.1890060007572174,-999.0,1,115000,0.999405026435852,21.66659927368164,0.1784829944372177,0.2859649956226349,3,21.356700897216797,21.888099670410156,21.578699111938477,0.07389199733734131,0.24304500222206116,3,21.68869972229004,0.18094299733638763,0.2631250023841858,3,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.019083277940646588
PSO J160.9656+22.4876,-999,-999,-999,134981609656645658,3618955000097720,140866337473952,0,15609436889009,13498,1,1802,69,0.979413758012851,3618955,32798,3,404226048,0,48,160.96564909,22.48758746,0.0010000000474974513,0.0010000000474974513,160.96564909,22.48758746,0.0010000000474974513,0.0010000000474974513,,,,,56189.78107639,-999.0,-0.873443121566678,0.30133645346162086,0.3824832744095221,153.8620011089347,13.359297124470038,214.9615650065602,60.75932947520922,-999,2,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.021680849817275367
PSO J160.9673+22.4862,-999,-999,-999,134981609673074024,3618955000043639,140866337417847,0,15609436885851,13498,1,1802,69,0.406387204682815,3618955,32798,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,160.96729952,22.48623875,0.14573000371456146,0.14573000371456146,,,,,57037.67141204,-999.0,-0.873460312334559,0.3013142294327227,0.38246152475481693,153.86398242636525,13.358642587945893,214.96506846208197,60.76043210813386,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.8108940124511719,20.58690071105957,0.1449580043554306,-999.0,1,20.58690071105957,20.58690071105957,-999.0,-999.0,-999.0,0,20.418699264526367,0.1449580043554306,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.02369692531486788
PSO J160.9674+22.4857,-999,-999,-999,134981609674063368,3618955000043652,140866337417860,0,15609436868711,13498,1,1802,69,0.738505011180886,3618955,32798,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,160.96740251,22.48568636,0.06616000086069107,0.06616000086069107,,,,,55962.65125,-999.0,-0.8734643396560705,0.3013138618181642,0.3824526167061862,153.86429206193205,13.358169900160624,214.96620982737312,60.76037407610275,-999,0,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7342749834060669,19.56839942932129,0.06443700194358826,-999.0,1,19.56839942932129,19.56839942932129,-999.0,-999.0,-999.0,0,19.94890022277832,0.06443700194358826,-999.0,1,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.024087126385961253
PSO J160.9675+22.4860,-999,-999,-999,134981609676443986,3618955000043686,140866337417894,0,15609436885141,13498,1,1802,69,0.896701816373227,3618955,32798,3,503635968,7,60,160.96755635,22.48595812,0.0010000000474974513,0.0010000000474974513,160.96753252363357,22.485957615456744,0.001932684317445473,0.0018538666974672016,-15.511282761676961,2.183117136525789,1.407468065845355,1.354672505653516,56175.48555103701,3.4623162746429443,-0.8734633117103308,0.30131128931982204,0.38245699107801384,153.86429353775716,13.358464616307696,214.96573915911043,60.760558477983125,-999,5,71,16,12,18,12,13,0.9997509717941284,20.979799270629883,0.02762500010430813,0.07942499965429306,14,20.831300735473633,21.089500427246094,21.10449981689453,0.05785699933767319,0.14949500560760498,14,21.00830078125,0.03024500049650669,0.1164190024137497,14,115000,0.9994670152664185,19.76409912109375,0.010528000071644783,0.0614750012755394,12,19.608400344848633,19.808399200439453,19.855100631713867,0.02661599963903427,0.09092800319194794,12,19.784500122070312,0.024663999676704407,0.10394900292158127,12,115000,0.9997550249099731,18.546100616455078,0.007191000040620565,0.021390000358223915,16,18.51490020751953,18.598100662231445,18.65850067138672,0.01345099974423647,0.041359998285770416,16,18.533599853515625,0.014417000114917755,0.06713200360536575,16,115000,0.9990389943122864,17.992700576782227,0.012246999889612198,0.05054999887943268,11,17.92609977722168,18.093599319458008,18.0762996673584,0.015584999695420265,0.05779299885034561,11,17.99449920654297,0.013309000059962273,0.04140999913215637,11,115000,0.9991030097007751,17.739500045776367,0.014189000241458416,0.059974998235702515,12,17.574600219726562,17.788700103759766,17.866500854492188,0.030400000512599945,0.11858300119638443,12,17.77429962158203,0.01798499934375286,0.12221500277519226,12,115000,0.024032605518435505
