,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,Unnamed: 0,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
211,PSO J071.0908+12.3451,-999,-999,-999,122810710908274702,3528362000036536,89717571882679,0,16760242391916,12281,1,1607,1,0.579964665304836,3528362,20889,3,436527104,7,52,71.09082306,12.34517485,0.0010000000474974,0.0010000000474974,71.09081591881396,12.345127441962156,0.0002065092860022,0.0002048541463093,4.441630247289563,-7.514494286238915,0.1745021019276818,0.1689763815771996,56198.10851427452,306.9140625,0.3165757722176416,0.9241587520359948,0.2137998631432597,71.25638808932163,-9.87223622937105,185.8428668358461,-21.11535465735803,-999,5,59,11,16,16,8,8,0.9997140169143676,15.830400466918944,0.0009840000420808,0.0033400000538676,7,15.827300071716309,15.835700035095217,15.888799667358398,0.0013439999893307,0.0154339997097849,10,15.831899642944336,0.0026589999906718,0.0068399999290704,10,115000,0.9996060132980348,15.173100471496582,0.0033579999580979,0.0102260001003742,12,15.157899856567385,15.184399604797363,15.211000442504885,0.0035099999513477,0.0098190000280737,14,15.158699989318848,0.0031010000966489,0.00900200009346,14,115000,0.999684989452362,14.831500053405762,0.0040190001018345,0.0185260009020566,13,14.804800033569336,14.86989974975586,14.872599601745604,0.0076270001009106,0.0310360006988048,14,14.822199821472168,0.0044419998303055,0.0202229991555213,14,115000,0.9991260170936584,14.665599822998049,0.0020419999491423,0.1977840065956115,8,14.652400016784668,15.18850040435791,14.73390007019043,0.0019590000156313,0.5026050209999084,8,14.663900375366213,0.001496999990195,0.0027399999089539,8,115000,0.9981399774551392,14.535300254821776,0.0042989999055862,0.0432280004024505,5,14.525099754333496,14.620599746704102,14.57129955291748,0.0220609996467828,0.1091179996728897,6,14.559599876403809,0.0061460002325475,0.0470860004425048,6,115000,0.0295521831004352,106432.0,0.02044453,0.8273046358391478,87.15400221287895,-20.465360976722224,0.0073378650473756
724,PSO J071.0991+12.3290,-999,-999,-999,122790710990665319,3528362000037620,89717571883763,0,16760242457999,12279,1,1607,1,0.0048516187862042,3528362,20889,3,503635968,7,60,71.09906218,12.32902227,0.0010000000474974,0.0010000000474974,71.09905217707436,12.32897855070217,0.0005477171761764,0.0005430580697755,0.6071761534550637,-4.555065167420812,0.4313280444861062,0.4187853195191762,56219.35550980513,36.9224739074707,0.3164624288528662,0.9242612240562328,0.2135245204434824,71.26233888516582,-9.889296968424286,185.86195062794025,-21.11827305961025,-999,5,62,13,13,19,9,8,0.9994829893112184,17.764400482177734,0.0038509999867528,0.0141700003296136,11,17.736600875854492,17.79290008544922,17.832300186157227,0.0100189996883273,0.0342620015144348,12,17.756799697875977,0.0062719997949898,0.0200399998575449,12,115000,0.9995980262756348,16.965599060058594,0.0035949999000877,0.0119340000674128,12,16.94569969177246,16.981300354003906,17.02899932861328,0.0058189998380839,0.0157490000128746,13,16.9591007232666,0.004749999847263,0.0099969999864697,13,115000,0.9991530179977416,16.56719970703125,0.0023499999660998,0.0081219999119639,14,16.555700302124023,16.58650016784668,16.650400161743164,0.0057149999774992,0.029526000842452,18,16.579500198364258,0.0067779999226331,0.028456000611186,18,115000,0.9996399879455566,16.377300262451172,0.0019900000188499,0.0082419998943805,9,16.358299255371094,16.384000778198242,16.473400115966797,0.0086510004475712,0.0255709998309612,9,16.387399673461914,0.0030650000553578,0.0101530002430081,9,115000,0.9990119934082032,16.2406005859375,0.0114080002531409,0.067109003663063,8,16.207000732421875,16.405899047851562,16.323999404907227,0.0086719999089837,0.0606359988451004,8,16.247400283813477,0.0109329996630549,0.048599999397993,8,115000,0.031691734100235,106945.0,0.030506097,0.943277537921422,129.7485254440407,-19.511437569124038,0.001375213622877
897,PSO J071.1551+12.3472,-999,-999,-999,122810711551417099,3528362000044599,89717571890742,0,16760241918833,12281,1,1607,1,0.642011882403877,3528362,20889,3,512024576,7,61,71.15515962,12.34722927,0.0010000000474974,0.0010000000474974,71.15514132342844,12.347183169111757,0.001280373629247,0.001280373629247,-9.052622464312726,-15.371523551321946,0.9903512734195464,0.9903512734195464,56374.7233399925,72.97443389892578,0.3155355510615173,0.9245063256525798,0.2138349125953725,71.31989375557505,-9.878406185189284,185.88045604172527,-21.063178019854305,-999,5,58,12,16,15,8,7,0.9994000196456908,19.499500274658203,0.0820370018482208,0.3409790098667145,11,19.27199935913086,20.244600296020508,18.447099685668945,0.0163749996572732,0.0586800016462802,12,18.613300323486328,0.053311001509428,0.2293429970741272,12,16892216,0.9994580149650574,18.67329978942871,0.135003000497818,0.3419030010700226,15,18.253700256347656,19.19890022277832,17.38789939880371,0.0145870000123977,0.03634599968791,16,17.67340087890625,0.0911839976906776,0.2800849974155426,16,16892216,0.9994069933891296,18.13599967956543,0.0330139994621276,0.176704004406929,9,18.03009986877441,18.578399658203125,16.843399047851562,0.0134910000488162,0.0785980001091957,14,17.19770050048828,0.0368559993803501,0.1667940020561218,14,16892216,0.9992700219154358,17.850799560546875,0.1358309984207153,0.3669619858264923,8,17.56920051574707,18.34499931335449,16.480899810791016,0.0058010001666843,0.0437849983572959,8,16.970600128173828,0.11370699852705,0.2838760018348694,8,16892216,0.9980120062828064,17.98509979248047,0.0338510014116764,0.0770379975438118,3,17.97089958190918,18.065099716186523,16.183700561523438,0.0402639992535114,0.0804819986224174,5,16.96579933166504,0.036285001784563,0.0666859969496727,5,16892216,0.0349580114709118,107118.0,0.059471767,0.8770621943700807,251.25355144204207,-20.580427157168145,0.0009816268851865
